@relation shuttle-2_vs_5
@attribute A1 integer [27, 126]
@attribute A2 integer [-4821, 5075]
@attribute A3 integer [21, 149]
@attribute A4 integer [-3939, 3830]
@attribute A5 integer [-188, 436]
@attribute A6 integer [-26739, 15164]
@attribute A7 integer [-48, 105]
@attribute A8 integer [-353, 270]
@attribute A9 integer [-356, 266]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
79, 5, 83, 0, -46, 0, 4, 130, 126, negative
79, 0, 83, 0, -40, 3, 4, 125, 120, negative
105, -1, 106, 2, 70, 0, 2, 36, 34, negative
85, 0, 88, -3, 6, 0, 3, 83, 80, negative
84, 1, 87, 0, -4, 0, 3, 92, 88, negative
79, 0, 83, 0, -30, 38, 4, 114, 110, negative
81, 2, 83, -8, -6, -968, 3, 91, 88, negative
106, -2, 107, -4, 72, 0, 1, 35, 34, negative
107, 0, 108, 0, 72, 2, 1, 35, 34, negative
105, 2, 106, 0, 70, 0, 1, 36, 36, negative
83, -3, 87, 0, -4, 0, 4, 92, 88, negative
81, -3, 85, -6, -40, 0, 4, 126, 122, negative
105, -1, 107, -3, 70, -4, 1, 37, 36, negative
78, -4, 83, 0, -40, 3, 4, 124, 120, negative
80, 0, 84, 0, -42, -10, 4, 128, 124, negative
84, -1, 88, 0, 2, 0, 3, 85, 82, negative
76, 0, 81, 0, -42, 0, 5, 125, 120, negative
81, 0, 84, 0, -18, 18, 4, 103, 98, negative
102, -4, 104, 0, 70, -11, 2, 34, 32, negative
105, 0, 106, 0, 70, -30, 1, 36, 36, negative
81, 5, 86, 2, -40, 8, 4, 127, 122, negative
75, 0, 79, 0, -42, 0, 4, 123, 120, negative
85, 0, 88, 0, 0, -14, 3, 88, 86, negative
102, 0, 103, 0, 72, 26, 1, 31, 30, negative
82, 0, 85, -2, -2, 8, 3, 88, 84, negative
82, 0, 86, 0, -40, 10, 4, 128, 124, negative
104, 0, 106, 0, 72, 7, 1, 33, 32, negative
82, 3, 86, 2, -2, 0, 3, 88, 84, negative
105, 0, 106, 0, 72, 1, 1, 34, 32, negative
82, 5, 86, 0, -6, 0, 3, 94, 90, negative
78, -2, 83, 0, -46, 0, 4, 129, 124, negative
78, 0, 82, 0, -42, -22, 4, 126, 122, negative
77, 0, 81, 0, -42, 0, 4, 125, 120, negative
104, -1, 105, -1, 70, -22, 1, 35, 34, negative
82, 0, 86, 0, -10, 3, 3, 96, 92, negative
101, 5, 102, 0, 72, 14, 1, 29, 28, negative
80, 3, 84, 0, -42, -18, 4, 128, 124, negative
81, 0, 85, -4, -22, 0, 4, 108, 104, negative
80, 0, 84, 1, -40, 14, 5, 126, 122, negative
85, 0, 89, 1, 2, -4, 4, 86, 82, negative
81, 2, 85, 0, -24, 0, 4, 111, 108, negative
82, -1, 85, -3, -2, 22, 3, 88, 84, negative
76, 0, 80, 0, -40, 17, 4, 121, 116, negative
82, 0, 86, 0, -40, 11, 4, 128, 124, negative
79, 0, 84, 0, -38, 0, 4, 123, 118, negative
82, 0, 86, -2, -40, 0, 4, 128, 124, negative
82, -1, 86, 0, -12, 0, 4, 99, 94, negative
83, -4, 88, 0, 6, 0, 5, 83, 78, negative
79, -5, 83, -2, -32, 1092, 4, 117, 112, negative
104, -4, 105, -3, 72, 1, 1, 33, 32, negative
71, -12, 76, -9, -40, 4, 5, 117, 112, negative
81, 0, 86, 0, -24, -18, 4, 112, 108, negative
102, 0, 102, -1, 72, 14, 1, 30, 30, negative
80, 0, 84, -5, -42, 0, 4, 128, 124, negative
103, 2, 105, 9, 70, 0, 2, 35, 34, negative
79, 0, 84, 0, -40, 11, 4, 125, 120, negative
79, 0, 84, 7, -6, 205, 5, 92, 88, negative
83, 0, 86, -2, -2, 17, 3, 88, 86, negative
76, 0, 81, 0, -40, 16, 5, 123, 118, negative
77, -3, 81, 0, -40, 73, 4, 123, 118, negative
68, 67, 82, 0, -42, -6, 13, 126, 112, positive
75, 1, 79, 8, -42, 0, 5, 123, 118, negative
79, 0, 83, 0, -46, -24, 4, 130, 126, negative
102, 0, 103, 0, 70, -25, 1, 33, 32, negative
79, -1, 83, 0, -46, 0, 5, 130, 126, negative
85, -1, 88, 0, 2, -13, 3, 86, 82, negative
82, 0, 86, 0, -10, 14, 3, 96, 92, negative
85, -4, 88, 0, 2, 3, 3, 86, 82, negative
77, 0, 81, 1, -42, 0, 4, 125, 120, negative
79, 0, 84, 1, -42, -3, 4, 128, 124, negative
105, 0, 107, 0, 70, 0, 1, 37, 36, negative
105, -3, 106, 0, 70, 0, 1, 36, 36, negative
111, 4254, 105, 0, 36, 0, -6, 69, 76, negative
82, 0, 86, 1, -6, 1, 4, 94, 90, negative
82, 0, 86, 2, -10, 0, 4, 96, 92, negative
104, 3, 106, 6, 72, 4, 1, 33, 32, negative
82, -3, 86, -1, -4, -11, 3, 91, 88, negative
85, 0, 88, 0, 2, 20, 3, 86, 82, negative
103, 1, 104, 6, 70, 0, 1, 35, 34, negative
85, 0, 88, 0, 0, -16, 3, 88, 86, negative
105, -2, 108, 0, 70, 0, 3, 38, 36, negative
83, 0, 86, 0, -6, -17, 3, 94, 90, negative
77, 1, 81, 0, -40, 0, 4, 123, 118, negative
85, 0, 88, 8, 0, 0, 3, 88, 84, negative
77, 1, 81, 1, -40, 10, 4, 123, 118, negative
81, 0, 85, 0, -40, 11, 4, 126, 122, negative
83, 2, 87, 0, -40, 0, 4, 128, 124, negative
85, 0, 89, 0, 2, -3, 4, 86, 82, negative
82, 1, 86, 2, -40, 3, 5, 128, 124, negative
81, 0, 86, 2, -22, 21, 4, 109, 104, negative
79, 0, 83, 0, -32, 43, 4, 117, 112, negative
107, 0, 108, -1, 72, 4, 1, 35, 34, negative
77, 6, 81, 0, -42, -22, 4, 125, 122, negative
85, 1, 88, 0, 0, -1, 3, 88, 86, negative
80, 0, 84, -6, -20, 1, 4, 105, 100, negative
80, -1, 84, 1, -36, 0, 5, 121, 116, negative
102, 1, 103, 1, 70, -6, 1, 33, 32, negative
82, 0, 85, 0, -6, 11, 3, 93, 90, negative
108, 5, 109, 0, 72, 11, 1, 36, 36, negative
101, 0, 102, 0, 72, 331, 1, 30, 28, negative
85, 0, 88, 0, 2, 28, 3, 86, 82, negative
79, 0, 83, -1, -40, 3, 4, 125, 120, negative
78, 1, 83, 2, -40, 16, 4, 124, 120, negative
105, -1, 106, -6, 70, 0, 1, 36, 34, negative
41, 33, 77, 0, -22, 0, 37, 101, 64, positive
85, 0, 88, -7, 6, 4, 3, 83, 80, negative
102, 3, 104, 3, 70, -1, 1, 34, 32, negative
82, 0, 86, 0, -4, -8, 3, 91, 88, negative
50, 22, 79, 0, 42, 0, 29, 37, 8, positive
81, -2, 85, 0, -22, 0, 4, 108, 104, negative
80, 0, 84, 2, -24, 3, 4, 110, 106, negative
75, 3, 79, 1, -42, 0, 4, 123, 118, negative
108, 3, 109, 2, 72, 5, 1, 36, 36, negative
103, 4, 104, 9, 72, 5, 1, 32, 30, negative
106, -2, 108, 0, 70, 0, 1, 38, 36, negative
80, 4, 84, 0, -38, 0, 4, 123, 118, negative
79, 0, 83, 0, -38, 26, 4, 122, 118, negative
76, 3, 80, 0, -40, 0, 4, 121, 118, negative
81, -1, 85, 0, -40, 3, 4, 126, 122, negative
82, 0, 86, 0, -12, -6, 3, 99, 96, negative
85, 0, 88, -5, 2, 0, 3, 85, 82, negative
79, -2, 84, 0, -40, 1, 4, 125, 120, negative
83, 0, 86, 0, -6, -5, 3, 94, 90, negative
81, 0, 84, 1, -14, -16, 4, 100, 96, negative
85, 0, 88, 0, 2, 22, 3, 86, 82, negative
72, -14, 77, -11, -40, 7, 5, 118, 114, negative
81, 0, 84, 0, -18, 14, 4, 103, 98, negative
81, 1, 86, 0, -40, 4, 4, 127, 122, negative
80, 0, 84, 2, -36, 22, 5, 121, 116, negative
103, 0, 104, -3, 70, 0, 1, 34, 34, negative
82, 1, 86, 0, -12, 0, 3, 99, 96, negative
102, 0, 102, -3, 70, -2, 1, 33, 32, negative
82, 1, 86, 0, -42, -23, 4, 130, 126, negative
77, 0, 81, -1, -40, 0, 4, 122, 118, negative
103, 4, 104, -1, 70, -1, 1, 35, 34, negative
81, 0, 84, 0, -18, 1, 4, 103, 98, negative
79, 0, 84, 4, -32, -11, 4, 117, 112, negative
107, 0, 108, 0, 72, 3, 1, 36, 34, negative
81, 1, 85, 0, -12, 0, 4, 98, 94, negative
79, -5, 84, 0, -40, 1, 4, 125, 120, negative
82, -1, 86, 0, -10, 0, 4, 96, 92, negative
104, 2, 105, 0, 72, 3, 1, 33, 32, negative
107, 0, 109, 4, 72, 1, 2, 36, 34, negative
82, 0, 86, 0, -12, -22, 3, 99, 96, negative
108, 1, 109, 1, 72, 8, 1, 36, 36, negative
81, 0, 84, 0, -14, 25, 3, 100, 96, negative
104, 0, 105, -4, 70, 0, 1, 35, 34, negative
84, 7, 89, 0, 6, -15, 5, 84, 78, negative
85, -2, 89, 0, 8, 0, 4, 81, 78, negative
77, 4, 81, 0, -42, -18, 4, 125, 122, negative
105, -1, 106, -7, 70, 0, 1, 36, 34, negative
85, 1, 88, 0, -2, -2, 3, 91, 88, negative
83, 0, 86, -6, -4, -9, 3, 91, 88, negative
108, 0, 109, 0, 70, -30, 1, 39, 38, negative
85, 0, 88, 0, 2, 0, 3, 85, 82, negative
75, 0, 80, 5, -42, 0, 5, 124, 120, negative
79, 0, 83, 0, -42, 5, 4, 127, 122, negative
108, 1, 109, 0, 72, 6, 1, 36, 36, negative
104, 4, 105, 4, 70, 0, 1, 35, 34, negative
106, 4, 108, 2, 70, 0, 1, 38, 36, negative
82, 4, 86, -1, -40, 1, 4, 127, 124, negative
107, 0, 108, 8, 70, 0, 1, 38, 36, negative
80, -1, 84, -2, -42, 7, 5, 128, 124, negative
80, 0, 84, 3, -36, 0, 5, 121, 116, negative
