@relation shuttle-2_vs_5
@attribute A1 integer [27, 126]
@attribute A2 integer [-4821, 5075]
@attribute A3 integer [21, 149]
@attribute A4 integer [-3939, 3830]
@attribute A5 integer [-188, 436]
@attribute A6 integer [-26739, 15164]
@attribute A7 integer [-48, 105]
@attribute A8 integer [-353, 270]
@attribute A9 integer [-356, 266]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
80, 0, 85, 6, -40, 10, 5, 126, 122, negative
79, 6, 83, 1, -40, 13, 4, 124, 120, negative
80, 1, 84, 0, -28, 0, 4, 112, 108, negative
105, 0, 106, -3, 72, 8, 1, 34, 34, negative
105, 0, 106, -1, 70, 0, 1, 36, 36, negative
81, -5, 84, 0, -22, -6, 4, 108, 104, negative
102, 0, 103, 0, 72, 12, 1, 31, 30, negative
76, 0, 81, 2, -40, 0, 5, 122, 118, negative
82, 0, 86, 0, -4, -24, 3, 91, 88, negative
77, 0, 81, -2, -40, 0, 4, 122, 118, negative
83, 0, 86, 0, -6, -23, 3, 94, 90, negative
105, 0, 106, -7, 70, 0, 1, 36, 36, negative
78, 1, 82, 0, -46, 0, 4, 128, 124, negative
79, -1, 83, -3, -32, 12, 4, 117, 112, negative
84, 4, 89, 0, 6, -10, 5, 84, 80, negative
79, 4, 83, 0, -30, 0, 4, 114, 110, negative
82, 0, 86, 1, -6, 3, 4, 94, 90, negative
85, 0, 88, -2, 2, -5, 3, 86, 82, negative
81, 0, 84, 0, -22, -16, 4, 108, 104, negative
82, 0, 86, 5, -10, 0, 4, 96, 92, negative
80, -4, 84, 0, -36, 0, 5, 121, 116, negative
80, 0, 84, 1, -36, 16, 5, 121, 116, negative
82, -1, 86, 0, -2, 2, 4, 88, 84, negative
85, 0, 88, 0, 2, 4, 3, 86, 82, negative
84, 0, 88, 0, 0, 25, 3, 88, 84, negative
80, -1, 84, 0, -36, 0, 5, 121, 116, negative
106, 0, 108, -3, 70, -4, 1, 38, 36, negative
81, 0, 84, 4, -14, 0, 4, 100, 96, negative
42, 36, 77, 0, -22, 0, 36, 101, 64, positive
77, 2, 81, 1, -40, 13, 4, 123, 118, negative
107, 5, 108, -1, 70, -2, 1, 38, 36, negative
80, 0, 84, 2, -42, -23, 5, 128, 124, negative
79, 0, 83, 0, -42, 2, 4, 127, 122, negative
108, 0, 109, 0, 72, 4, 1, 36, 36, negative
81, 1, 84, 0, -14, 1, 3, 100, 96, negative
82, 0, 85, 0, -6, 26, 3, 93, 90, negative
78, -4, 83, 0, -46, 0, 4, 129, 124, negative
79, -1, 83, -2, -40, 2, 4, 124, 120, negative
106, 0, 108, 5, 70, 0, 2, 38, 36, negative
84, -3, 88, 0, 6, 0, 5, 83, 78, negative
81, -2, 84, 0, -18, 0, 4, 103, 98, negative
85, 0, 88, -6, 6, 0, 3, 83, 80, negative
81, 0, 86, 0, -22, 10, 4, 109, 104, negative
