@relation shuttle-2_vs_5
@attribute A1 integer [27, 126]
@attribute A2 integer [-4821, 5075]
@attribute A3 integer [21, 149]
@attribute A4 integer [-3939, 3830]
@attribute A5 integer [-188, 436]
@attribute A6 integer [-26739, 15164]
@attribute A7 integer [-48, 105]
@attribute A8 integer [-353, 270]
@attribute A9 integer [-356, 266]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
101, -3, 102, -4, 72, 0, 1, 29, 28, negative
85, -3, 88, 0, 2, -25, 3, 86, 82, negative
82, 1, 86, 0, -6, 0, 3, 94, 90, negative
78, -2, 82, 0, -40, 0, 4, 123, 120, negative
78, 0, 82, -2, -40, 0, 4, 123, 120, negative
106, 0, 107, -5, 70, 0, 1, 37, 36, negative
76, 0, 81, 8, -40, 9, 5, 122, 116, negative
80, -4, 84, 0, -14, 0, 4, 99, 96, negative
85, 0, 88, 1, -2, 0, 3, 91, 88, negative
83, 0, 86, 0, -6, -21, 3, 94, 90, negative
76, 2, 81, 1, -40, 11, 5, 122, 118, negative
83, 0, 86, 0, -4, 7, 3, 92, 88, negative
81, 0, 84, 0, -20, -6, 4, 105, 102, negative
77, 1, 81, 0, -42, 0, 4, 125, 122, negative
108, 1, 109, 1, 72, 2, 1, 36, 36, negative
102, 0, 103, -1, 72, 16, 1, 31, 30, negative
105, -2, 106, 0, 70, 0, 1, 36, 36, negative
80, 0, 84, 0, -36, -7, 4, 120, 116, negative
103, -1, 104, -4, 72, 10, 1, 31, 30, negative
81, 4, 84, 0, -14, 4, 3, 100, 96, negative
107, 3, 108, 0, 70, -1, 1, 38, 36, negative
76, -2, 81, 0, -40, 14, 5, 122, 116, negative
86, 5, 89, 0, 2, -14, 3, 86, 84, negative
106, 5, 107, -1, 70, -1, 1, 37, 36, negative
81, 0, 84, 0, -14, 14, 3, 100, 96, negative
79, 0, 83, 3, -40, 15, 5, 125, 120, negative
76, -1, 81, 0, -40, 10, 5, 122, 116, negative
79, 0, 83, 0, -46, -29, 4, 130, 126, negative
79, 0, 83, 0, -28, 2, 4, 112, 108, negative
83, 0, 87, 0, -40, 0, 4, 128, 124, negative
83, 0, 86, 0, -4, 2, 3, 92, 88, negative
81, 0, 86, 8, -40, 7, 5, 127, 122, negative
79, 1, 84, 3, -40, 2, 4, 125, 120, negative
83, 0, 87, 8, -4, 1, 4, 92, 88, negative
101, 0, 102, 0, 72, 3, 1, 29, 28, negative
102, 0, 102, 0, 72, 31, 1, 30, 30, negative
79, 0, 83, 0, -30, 19, 4, 114, 110, negative
81, 3, 84, 0, -12, 17, 3, 97, 94, negative
83, 0, 86, 0, -2, 29, 3, 89, 86, negative
105, 2, 107, 4, 72, 2, 1, 35, 34, negative
76, 0, 81, 0, -42, -18, 5, 125, 120, negative
81, -2, 85, -4, -40, 0, 4, 126, 122, negative
79, 0, 83, 0, -38, 5, 4, 122, 118, negative
79, -3, 83, -4, -40, 5, 4, 124, 120, negative
105, 1, 106, 0, 70, -3, 1, 36, 34, negative
104, -3, 106, 0, 70, -24, 1, 36, 34, negative
108, 0, 108, -6, 72, 7, 1, 36, 36, negative
71, 3, 76, 8, -42, -11, 4, 119, 116, negative
81, -2, 84, 0, -20, 23, 4, 105, 102, negative
85, 0, 88, 0, 0, -22, 3, 88, 86, negative
79, 0, 83, -3, -32, -2, 4, 117, 112, negative
81, 0, 85, 1, -22, 0, 4, 108, 104, negative
81, 1, 84, 0, -14, 8, 3, 100, 96, negative
85, 0, 88, 0, 6, 2, 3, 83, 80, negative
78, 0, 83, 1, -40, 10, 4, 124, 120, negative
85, 0, 88, 0, 6, 11, 3, 83, 80, negative
82, 0, 85, 0, -10, -8, 3, 95, 92, negative
78, 0, 82, 0, -46, 0, 4, 128, 124, negative
81, 0, 84, 0, -20, 24, 4, 105, 102, negative
83, 0, 86, -1, -4, 10, 3, 92, 88, negative
71, 1, 76, 4, -42, -5, 4, 119, 116, negative
82, 3, 86, 0, -40, 2, 4, 128, 124, negative
81, 0, 84, 0, -14, 2, 4, 100, 96, negative
85, 4, 88, 0, 0, 0, 3, 88, 86, negative
84, 0, 88, 2, 0, 1, 4, 88, 84, negative
106, 0, 107, 0, 72, 1, 1, 35, 34, negative
80, 0, 84, 3, -24, 5, 4, 110, 106, negative
81, 0, 84, 0, -14, -4, 4, 100, 96, negative
102, 0, 103, 0, 72, 10, 1, 31, 30, negative
104, -5, 106, 0, 70, 0, 1, 36, 34, negative
83, 0, 86, -2, -4, 8, 3, 92, 88, negative
85, 0, 88, 0, 6, 12, 3, 83, 80, negative
78, 3, 82, 0, -42, 0, 4, 126, 122, negative
102, -16, 107, 0, 70, 0, 5, 37, 32, negative
85, 0, 88, 0, 6, 8, 3, 83, 80, negative
78, 1, 81, 0, -40, 142, 4, 123, 120, negative
80, -3, 84, 0, -36, 0, 5, 121, 116, negative
71, 0, 75, 2, -40, 25, 4, 116, 112, negative
76, -2, 81, -1, -42, -5, 5, 125, 120, negative
80, 1, 84, 0, -36, 0, 4, 121, 116, negative
104, 3, 106, 4, 70, 0, 1, 36, 34, negative
84, 0, 88, -1, 6, -3, 5, 83, 78, negative
