@relation abalone-20_vs_8-9-10
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.465, 0.355, 0.105, 0.4795, 0.227, 0.124, 0.125, negative
I, 0.52, 0.41, 0.12, 0.595, 0.2385, 0.111, 0.19, negative
F, 0.5, 0.4, 0.14, 0.6615, 0.2565, 0.1755, 0.22, negative
I, 0.385, 0.29, 0.085, 0.2505, 0.112, 0.061, 0.08, negative
F, 0.425, 0.33, 0.115, 0.406, 0.1635, 0.081, 0.1355, negative
M, 0.525, 0.435, 0.155, 1.065, 0.486, 0.233, 0.285, negative
M, 0.42, 0.335, 0.115, 0.369, 0.171, 0.071, 0.12, negative
M, 0.35, 0.275, 0.11, 0.2925, 0.1225, 0.0635, 0.0905, negative
I, 0.36, 0.28, 0.09, 0.2255, 0.0885, 0.04, 0.09, negative
M, 0.47, 0.38, 0.145, 0.5865, 0.2385, 0.144, 0.185, negative
M, 0.445, 0.35, 0.115, 0.3615, 0.1565, 0.0695, 0.117, negative
F, 0.44, 0.34, 0.105, 0.364, 0.148, 0.0805, 0.1175, negative
F, 0.55, 0.43, 0.125, 0.923, 0.4035, 0.175, 0.283, negative
I, 0.505, 0.39, 0.15, 0.685, 0.362, 0.131, 0.156, negative
I, 0.505, 0.355, 0.125, 0.601, 0.25, 0.1205, 0.185, negative
F, 0.515, 0.43, 0.14, 0.834, 0.367, 0.2, 0.23, negative
F, 0.59, 0.455, 0.145, 1.063, 0.5155, 0.2445, 0.25, negative
I, 0.45, 0.365, 0.125, 0.462, 0.2135, 0.0985, 0.1315, negative
I, 0.53, 0.4, 0.125, 0.617, 0.279, 0.127, 0.19, negative
M, 0.58, 0.455, 0.15, 1.114, 0.4765, 0.2155, 0.265, negative
M, 0.6, 0.455, 0.17, 1.1915, 0.696, 0.2395, 0.24, negative
F, 0.6, 0.465, 0.15, 1.1025, 0.5455, 0.262, 0.25, negative
M, 0.72, 0.565, 0.145, 1.187, 0.691, 0.1945, 0.2685, negative
I, 0.43, 0.34, 0.0, 0.428, 0.2065, 0.086, 0.115, negative
I, 0.455, 0.33, 0.1, 0.372, 0.358, 0.0775, 0.11, negative
I, 0.475, 0.355, 0.1, 0.5035, 0.2535, 0.091, 0.14, negative
I, 0.48, 0.355, 0.115, 0.4725, 0.2065, 0.112, 0.132, negative
M, 0.44, 0.32, 0.12, 0.4565, 0.2435, 0.092, 0.1025, negative
M, 0.475, 0.37, 0.125, 0.649, 0.347, 0.136, 0.142, negative
M, 0.585, 0.455, 0.15, 0.906, 0.4095, 0.23, 0.2335, negative
F, 0.59, 0.46, 0.145, 0.9905, 0.453, 0.2205, 0.275, negative
I, 0.45, 0.34, 0.095, 0.3245, 0.1385, 0.064, 0.105, negative
I, 0.47, 0.355, 0.125, 0.499, 0.21, 0.0985, 0.155, negative
I, 0.555, 0.435, 0.14, 0.765, 0.3945, 0.15, 0.206, negative
F, 0.63, 0.5, 0.18, 1.1965, 0.514, 0.2325, 0.3995, negative
I, 0.455, 0.345, 0.11, 0.434, 0.207, 0.0855, 0.1215, negative
F, 0.64, 0.475, 0.14, 1.0725, 0.4895, 0.2295, 0.31, negative
I, 0.415, 0.31, 0.095, 0.311, 0.1125, 0.0625, 0.115, negative
I, 0.43, 0.34, 0.1, 0.3405, 0.1395, 0.0665, 0.12, negative
I, 0.525, 0.405, 0.145, 0.6965, 0.3045, 0.1535, 0.21, negative
