@relation abalone-20_vs_8-9-10
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
I, 0.425, 0.3, 0.095, 0.3515, 0.141, 0.0775, 0.12, negative
M, 0.405, 0.305, 0.085, 0.2605, 0.1145, 0.0595, 0.085, negative
I, 0.435, 0.34, 0.11, 0.3795, 0.1495, 0.085, 0.12, negative
I, 0.3, 0.23, 0.08, 0.1275, 0.0435, 0.0265, 0.04, negative
I, 0.485, 0.375, 0.14, 0.521, 0.2, 0.123, 0.17, negative
I, 0.45, 0.35, 0.13, 0.547, 0.245, 0.1405, 0.1405, negative
F, 0.595, 0.48, 0.16, 1.2095, 0.5225, 0.296, 0.32, negative
I, 0.45, 0.355, 0.105, 0.4445, 0.197, 0.093, 0.1335, negative
F, 0.47, 0.365, 0.12, 0.582, 0.29, 0.092, 0.146, negative
M, 0.51, 0.39, 0.135, 0.769, 0.3935, 0.1455, 0.19, negative
M, 0.535, 0.435, 0.14, 0.874, 0.3735, 0.229, 0.2195, negative
M, 0.57, 0.445, 0.14, 1.0635, 0.5265, 0.2195, 0.24, negative
M, 0.63, 0.485, 0.155, 1.278, 0.637, 0.275, 0.31, negative
I, 0.5, 0.38, 0.125, 0.519, 0.2485, 0.1135, 0.134, negative
I, 0.51, 0.38, 0.115, 0.5155, 0.215, 0.1135, 0.166, negative
I, 0.525, 0.395, 0.12, 0.608, 0.297, 0.1395, 0.1405, negative
F, 0.55, 0.415, 0.135, 0.8145, 0.427, 0.1855, 0.175, negative
F, 0.56, 0.44, 0.155, 0.6405, 0.336, 0.1765, 0.245, negative
M, 0.56, 0.415, 0.145, 0.852, 0.43, 0.1885, 0.205, negative
I, 0.57, 0.44, 0.15, 0.755, 0.3425, 0.16, 0.224, negative
M, 0.62, 0.45, 0.2, 0.858, 0.4285, 0.1525, 0.2405, negative
F, 0.62, 0.48, 0.16, 1.1125, 0.5635, 0.2445, 0.281, negative
I, 0.35, 0.255, 0.09, 0.1785, 0.0855, 0.0305, 0.0525, negative
I, 0.395, 0.295, 0.095, 0.2725, 0.115, 0.0625, 0.085, negative
I, 0.43, 0.315, 0.095, 0.378, 0.175, 0.08, 0.1045, negative
I, 0.455, 0.345, 0.105, 0.4005, 0.164, 0.0755, 0.126, negative
I, 0.505, 0.405, 0.13, 0.6015, 0.3015, 0.11, 0.18, negative
I, 0.535, 0.415, 0.15, 0.5765, 0.3595, 0.135, 0.225, negative
I, 0.545, 0.435, 0.135, 0.7715, 0.372, 0.148, 0.227, negative
F, 0.565, 0.45, 0.145, 0.8495, 0.4215, 0.1685, 0.225, negative
I, 0.46, 0.355, 0.11, 0.436, 0.1975, 0.096, 0.125, negative
I, 0.615, 0.475, 0.13, 0.8425, 0.353, 0.1915, 0.251, negative
I, 0.41, 0.3, 0.09, 0.304, 0.129, 0.071, 0.0955, negative
M, 0.48, 0.355, 0.16, 0.464, 0.221, 0.106, 0.239, negative
I, 0.495, 0.4, 0.105, 0.602, 0.2505, 0.1265, 0.19, negative
I, 0.5, 0.4, 0.12, 0.616, 0.261, 0.143, 0.1935, negative
I, 0.5, 0.39, 0.12, 0.5955, 0.2455, 0.147, 0.173, negative
M, 0.525, 0.415, 0.145, 0.845, 0.3525, 0.1635, 0.2875, negative
I, 0.545, 0.42, 0.125, 0.717, 0.358, 0.112, 0.22, negative
