@relation abalone-20_vs_8-9-10
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
F, 0.45, 0.355, 0.105, 0.5225, 0.237, 0.1165, 0.145, negative
M, 0.52, 0.4, 0.12, 0.58, 0.234, 0.1315, 0.185, negative
M, 0.475, 0.355, 0.12, 0.48, 0.234, 0.1015, 0.135, negative
M, 0.45, 0.35, 0.13, 0.46, 0.174, 0.111, 0.135, negative
M, 0.37, 0.28, 0.1, 0.252, 0.1065, 0.0595, 0.074, negative
M, 0.45, 0.355, 0.115, 0.479, 0.2125, 0.1045, 0.15, negative
M, 0.355, 0.265, 0.09, 0.168, 0.05, 0.041, 0.063, negative
M, 0.355, 0.265, 0.085, 0.201, 0.069, 0.053, 0.0695, negative
I, 0.315, 0.23, 0.07, 0.144, 0.053, 0.0305, 0.04, negative
F, 0.58, 0.46, 0.18, 1.0515, 0.4095, 0.2595, 0.276, negative
I, 0.445, 0.335, 0.11, 0.411, 0.1985, 0.0935, 0.109, negative
I, 0.515, 0.385, 0.125, 0.6115, 0.3175, 0.1265, 0.15, negative
M, 0.58, 0.45, 0.145, 1.0025, 0.547, 0.1975, 0.2295, negative
M, 0.62, 0.47, 0.135, 1.0195, 0.5315, 0.2005, 0.2475, negative
M, 0.665, 0.525, 0.16, 1.363, 0.629, 0.279, 0.34, negative
I, 0.47, 0.365, 0.1, 0.411, 0.175, 0.0855, 0.135, negative
I, 0.47, 0.355, 0.18, 0.48, 0.2055, 0.105, 0.1505, negative
I, 0.47, 0.355, 0.12, 0.393, 0.167, 0.0885, 0.115, negative
I, 0.545, 0.405, 0.135, 0.5945, 0.27, 0.1185, 0.185, negative
M, 0.565, 0.445, 0.15, 0.796, 0.3635, 0.184, 0.219, negative
I, 0.405, 0.31, 0.095, 0.3425, 0.1785, 0.064, 0.0855, negative
M, 0.52, 0.4, 0.125, 0.559, 0.254, 0.139, 0.149, negative
M, 0.53, 0.4, 0.125, 0.7575, 0.398, 0.151, 0.175, negative
M, 0.575, 0.46, 0.165, 0.9155, 0.4005, 0.2465, 0.2385, negative
M, 0.635, 0.51, 0.185, 1.308, 0.544, 0.318, 0.377, negative
I, 0.425, 0.325, 0.11, 0.317, 0.135, 0.048, 0.09, negative
I, 0.515, 0.395, 0.125, 0.6635, 0.32, 0.14, 0.17, negative
I, 0.525, 0.38, 0.135, 0.615, 0.261, 0.159, 0.175, negative
I, 0.54, 0.425, 0.135, 0.686, 0.3475, 0.1545, 0.213, negative
I, 0.55, 0.415, 0.145, 0.7815, 0.373, 0.16, 0.2215, negative
F, 0.58, 0.435, 0.15, 0.834, 0.428, 0.1515, 0.23, negative
I, 0.6, 0.48, 0.17, 0.9175, 0.38, 0.2225, 0.29, negative
M, 0.605, 0.475, 0.145, 0.884, 0.3835, 0.1905, 0.27, negative
