@relation abalone-20_vs_8-9-10
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
I, 0.315, 0.245, 0.085, 0.1435, 0.053, 0.0475, 0.05, negative
F, 0.46, 0.425, 0.155, 0.746, 0.3005, 0.152, 0.24, negative
F, 0.38, 0.305, 0.095, 0.2815, 0.1255, 0.0525, 0.09, negative
M, 0.49, 0.385, 0.125, 0.609, 0.3065, 0.096, 0.1775, negative
F, 0.64, 0.51, 0.165, 1.486, 0.7595, 0.332, 0.321, negative
I, 0.435, 0.325, 0.12, 0.3995, 0.1815, 0.061, 0.1125, negative
M, 0.47, 0.365, 0.12, 0.612, 0.327, 0.15, 0.14, negative
M, 0.48, 0.36, 0.1, 0.439, 0.194, 0.099, 0.115, negative
M, 0.49, 0.385, 0.125, 0.649, 0.32, 0.124, 0.1695, negative
M, 0.51, 0.41, 0.145, 0.796, 0.3865, 0.1815, 0.1955, negative
F, 0.535, 0.4, 0.135, 0.8215, 0.3935, 0.196, 0.205, negative
F, 0.57, 0.455, 0.15, 1.107, 0.54, 0.255, 0.27, negative
F, 0.58, 0.45, 0.145, 1.137, 0.5585, 0.22, 0.29, negative
F, 0.615, 0.48, 0.16, 1.2525, 0.585, 0.2595, 0.33, negative
M, 0.645, 0.52, 0.175, 1.561, 0.709, 0.3555, 0.4, negative
I, 0.48, 0.38, 0.125, 0.6245, 0.3395, 0.1085, 0.1665, negative
I, 0.52, 0.38, 0.135, 0.5395, 0.2295, 0.133, 0.157, negative
I, 0.52, 0.38, 0.125, 0.5545, 0.288, 0.1295, 0.167, negative
F, 0.55, 0.43, 0.15, 0.84, 0.395, 0.195, 0.223, negative
I, 0.38, 0.27, 0.08, 0.2105, 0.0865, 0.042, 0.07, negative
I, 0.385, 0.28, 0.085, 0.2175, 0.097, 0.038, 0.067, negative
I, 0.395, 0.305, 0.105, 0.284, 0.1135, 0.0595, 0.0945, negative
F, 0.455, 0.365, 0.115, 0.4305, 0.184, 0.108, 0.1245, negative
F, 0.46, 0.365, 0.125, 0.4785, 0.206, 0.1045, 0.141, negative
I, 0.475, 0.38, 0.12, 0.441, 0.1785, 0.0885, 0.1505, negative
I, 0.475, 0.36, 0.11, 0.492, 0.211, 0.11, 0.15, negative
I, 0.48, 0.365, 0.1, 0.461, 0.2205, 0.0835, 0.135, negative
I, 0.505, 0.395, 0.105, 0.551, 0.248, 0.103, 0.171, negative
M, 0.59, 0.44, 0.15, 0.8725, 0.387, 0.215, 0.245, negative
M, 0.6, 0.455, 0.155, 0.945, 0.4365, 0.2085, 0.25, negative
I, 0.385, 0.29, 0.09, 0.2365, 0.1, 0.0505, 0.076, negative
I, 0.48, 0.37, 0.12, 0.536, 0.251, 0.114, 0.15, negative
I, 0.49, 0.4, 0.135, 0.624, 0.3035, 0.1285, 0.169, negative
I, 0.495, 0.37, 0.125, 0.4715, 0.2075, 0.091, 0.15, negative
I, 0.545, 0.375, 0.12, 0.543, 0.2375, 0.1155, 0.1725, negative
I, 0.55, 0.425, 0.15, 0.7665, 0.339, 0.176, 0.21, negative
I, 0.595, 0.46, 0.15, 0.8335, 0.377, 0.1925, 0.235, negative
I, 0.585, 0.45, 0.15, 0.8915, 0.3975, 0.2035, 0.253, negative
I, 0.485, 0.36, 0.12, 0.5155, 0.2465, 0.1025, 0.147, negative
I, 0.52, 0.41, 0.11, 0.5185, 0.2165, 0.0915, 0.184, negative
M, 0.485, 0.39, 0.135, 0.617, 0.25, 0.1345, 0.1635, negative
F, 0.535, 0.42, 0.13, 0.699, 0.3125, 0.1565, 0.2035, negative
F, 0.61, 0.43, 0.14, 0.909, 0.438, 0.2, 0.22, negative
F, 0.48, 0.38, 0.12, 0.608, 0.2705, 0.1405, 0.185, negative
M, 0.47, 0.375, 0.115, 0.4265, 0.1685, 0.0755, 0.15, negative
M, 0.415, 0.31, 0.09, 0.3245, 0.1305, 0.0735, 0.115, negative
F, 0.4, 0.3, 0.115, 0.3025, 0.1335, 0.0465, 0.0935, negative
F, 0.46, 0.36, 0.115, 0.4755, 0.2105, 0.105, 0.16, negative
M, 0.475, 0.36, 0.12, 0.578, 0.2825, 0.12, 0.17, negative
I, 0.495, 0.385, 0.125, 0.585, 0.2755, 0.1235, 0.165, negative
F, 0.64, 0.5, 0.15, 1.0705, 0.371, 0.2705, 0.36, negative
M, 0.44, 0.325, 0.08, 0.413, 0.144, 0.1015, 0.13, negative
F, 0.47, 0.355, 0.18, 0.441, 0.1525, 0.1165, 0.135, negative
F, 0.465, 0.35, 0.135, 0.6265, 0.259, 0.1445, 0.175, negative
F, 0.6, 0.5, 0.155, 1.332, 0.6235, 0.2835, 0.35, negative
M, 0.525, 0.425, 0.125, 0.812, 0.4035, 0.1705, 0.195, negative
F, 0.58, 0.445, 0.145, 0.888, 0.41, 0.1815, 0.2425, negative
M, 0.63, 0.48, 0.165, 1.286, 0.604, 0.271, 0.35, negative
I, 0.485, 0.375, 0.13, 0.5535, 0.266, 0.112, 0.157, negative
I, 0.55, 0.42, 0.13, 0.636, 0.294, 0.144, 0.1755, negative
F, 0.55, 0.44, 0.135, 0.8435, 0.434, 0.1995, 0.185, negative
F, 0.59, 0.46, 0.16, 1.0115, 0.445, 0.2615, 0.2565, negative
I, 0.395, 0.32, 0.1, 0.3075, 0.149, 0.0535, 0.09, negative
I, 0.485, 0.38, 0.125, 0.5215, 0.2215, 0.118, 0.16, negative
F, 0.585, 0.455, 0.13, 0.8755, 0.411, 0.2065, 0.225, negative
F, 0.57, 0.425, 0.13, 0.782, 0.3695, 0.1745, 0.1965, negative
I, 0.55, 0.425, 0.13, 0.664, 0.2695, 0.163, 0.21, negative
I, 0.56, 0.43, 0.13, 0.728, 0.3355, 0.1435, 0.2175, negative
I, 0.535, 0.4, 0.135, 0.775, 0.368, 0.208, 0.2055, negative
I, 0.435, 0.325, 0.105, 0.335, 0.136, 0.065, 0.115, negative
I, 0.45, 0.33, 0.115, 0.365, 0.14, 0.0825, 0.1245, negative
I, 0.45, 0.34, 0.125, 0.4045, 0.171, 0.07, 0.1345, negative
