@relation abalone-3_vs_11
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.155, 0.11, 0.04, 0.0155, 0.0065, 0.003, 0.005, positive
I, 0.215, 0.15, 0.055, 0.041, 0.015, 0.009, 0.0125, positive
I, 0.195, 0.15, 0.045, 0.0375, 0.018, 0.006, 0.011, positive
M, 0.355, 0.28, 0.095, 0.2455, 0.0955, 0.062, 0.075, negative
F, 0.53, 0.415, 0.115, 0.5915, 0.233, 0.1585, 0.18, negative
M, 0.58, 0.475, 0.15, 0.97, 0.385, 0.2165, 0.35, negative
I, 0.39, 0.31, 0.1, 0.302, 0.116, 0.064, 0.115, negative
M, 0.555, 0.45, 0.145, 0.915, 0.4, 0.246, 0.285, negative
I, 0.49, 0.38, 0.12, 0.529, 0.2165, 0.139, 0.155, negative
F, 0.525, 0.41, 0.135, 0.7085, 0.293, 0.1525, 0.235, negative
M, 0.32, 0.245, 0.075, 0.1555, 0.0585, 0.038, 0.049, negative
I, 0.445, 0.33, 0.12, 0.347, 0.12, 0.084, 0.105, negative
F, 0.5, 0.375, 0.115, 0.5945, 0.185, 0.148, 0.19, negative
F, 0.68, 0.56, 0.195, 1.7775, 0.861, 0.322, 0.415, negative
F, 0.685, 0.54, 0.16, 1.6675, 0.833, 0.3775, 0.475, negative
F, 0.62, 0.51, 0.18, 1.3315, 0.594, 0.276, 0.388, negative
F, 0.63, 0.495, 0.165, 1.3075, 0.599, 0.284, 0.315, negative
F, 0.66, 0.505, 0.185, 1.528, 0.69, 0.3025, 0.441, negative
F, 0.715, 0.525, 0.185, 1.56, 0.6655, 0.383, 0.405, negative
M, 0.565, 0.39, 0.125, 0.744, 0.352, 0.13, 0.1685, negative
M, 0.645, 0.51, 0.16, 1.1835, 0.556, 0.2385, 0.345, negative
M, 0.705, 0.555, 0.215, 2.141, 1.0465, 0.383, 0.528, negative
F, 0.71, 0.55, 0.17, 1.614, 0.743, 0.345, 0.45, negative
M, 0.655, 0.51, 0.215, 1.7835, 0.8885, 0.4095, 0.4195, negative
M, 0.67, 0.545, 0.2, 1.7025, 0.833, 0.374, 0.41, negative
M, 0.68, 0.515, 0.17, 1.6115, 0.8415, 0.306, 0.395, negative
M, 0.7, 0.555, 0.2, 1.858, 0.73, 0.3665, 0.595, negative
I, 0.555, 0.46, 0.145, 0.9005, 0.3845, 0.158, 0.2765, negative
I, 0.59, 0.46, 0.145, 0.9015, 0.419, 0.1785, 0.26, negative
M, 0.65, 0.525, 0.185, 1.488, 0.665, 0.337, 0.378, negative
F, 0.655, 0.505, 0.195, 1.4405, 0.688, 0.3805, 0.363, negative
F, 0.665, 0.505, 0.16, 1.2915, 0.631, 0.2925, 0.32, negative
M, 0.67, 0.52, 0.165, 1.39, 0.711, 0.2865, 0.3, negative
I, 0.42, 0.325, 0.1, 0.368, 0.1675, 0.0625, 0.1135, negative
