@relation abalone-3_vs_11
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
I, 0.16, 0.11, 0.025, 0.018, 0.0065, 0.0055, 0.005, positive
I, 0.18, 0.13, 0.045, 0.0275, 0.0125, 0.01, 0.009, positive
M, 0.18, 0.125, 0.05, 0.023, 0.0085, 0.0055, 0.01, positive
F, 0.58, 0.45, 0.185, 0.9955, 0.3945, 0.272, 0.285, negative
M, 0.57, 0.48, 0.175, 1.185, 0.474, 0.261, 0.38, negative
F, 0.555, 0.425, 0.14, 0.788, 0.282, 0.1595, 0.285, negative
F, 0.545, 0.41, 0.125, 0.6935, 0.2975, 0.146, 0.21, negative
F, 0.63, 0.48, 0.16, 1.199, 0.5265, 0.335, 0.315, negative
F, 0.47, 0.35, 0.145, 0.5175, 0.187, 0.1235, 0.18, negative
F, 0.46, 0.38, 0.13, 0.639, 0.3, 0.1525, 0.16, negative
M, 0.38, 0.285, 0.1, 0.2665, 0.115, 0.061, 0.075, negative
I, 0.465, 0.38, 0.13, 0.454, 0.1895, 0.08, 0.155, negative
I, 0.52, 0.405, 0.14, 0.5775, 0.2, 0.145, 0.179, negative
F, 0.545, 0.415, 0.15, 0.7335, 0.2795, 0.163, 0.2185, negative
F, 0.61, 0.475, 0.14, 1.133, 0.5275, 0.2355, 0.35, negative
F, 0.625, 0.49, 0.175, 1.233, 0.5565, 0.247, 0.365, negative
I, 0.47, 0.35, 0.13, 0.466, 0.1845, 0.099, 0.145, negative
I, 0.535, 0.45, 0.17, 0.781, 0.3055, 0.1555, 0.295, negative
M, 0.315, 0.25, 0.09, 0.203, 0.0615, 0.037, 0.0795, negative
M, 0.525, 0.4, 0.13, 0.8295, 0.2405, 0.1825, 0.275, negative
F, 0.425, 0.345, 0.11, 0.3665, 0.125, 0.081, 0.117, negative
F, 0.595, 0.45, 0.15, 1.114, 0.5865, 0.2205, 0.25, negative
M, 0.605, 0.47, 0.165, 1.2315, 0.6025, 0.262, 0.2925, negative
M, 0.645, 0.5, 0.175, 1.3385, 0.633, 0.299, 0.349, negative
M, 0.65, 0.52, 0.21, 1.6785, 0.6665, 0.308, 0.46, negative
M, 0.67, 0.525, 0.165, 1.6085, 0.682, 0.3145, 0.4005, negative
M, 0.655, 0.515, 0.16, 1.31, 0.553, 0.369, 0.345, negative
F, 0.71, 0.56, 0.18, 1.652, 0.735, 0.381, 0.4525, negative
F, 0.755, 0.625, 0.21, 2.505, 1.1965, 0.513, 0.6785, negative
I, 0.465, 0.34, 0.11, 0.346, 0.1425, 0.073, 0.113, negative
I, 0.63, 0.505, 0.18, 1.272, 0.6025, 0.295, 0.315, negative
F, 0.65, 0.505, 0.165, 1.16, 0.4785, 0.274, 0.349, negative
F, 0.65, 0.59, 0.22, 1.662, 0.77, 0.378, 0.435, negative
F, 0.68, 0.51, 0.2, 1.6075, 0.714, 0.339, 0.4705, negative
M, 0.685, 0.52, 0.15, 1.3735, 0.7185, 0.293, 0.32, negative
F, 0.73, 0.56, 0.19, 1.9425, 0.799, 0.5195, 0.5655, negative
M, 0.625, 0.49, 0.185, 1.169, 0.5275, 0.2535, 0.344, negative
M, 0.65, 0.525, 0.19, 1.6125, 0.777, 0.3685, 0.3965, negative
F, 0.665, 0.515, 0.185, 1.3405, 0.5595, 0.293, 0.4375, negative
F, 0.6, 0.47, 0.135, 0.97, 0.4655, 0.1955, 0.264, negative
M, 0.6, 0.46, 0.17, 1.1805, 0.456, 0.337, 0.329, negative
F, 0.625, 0.47, 0.145, 0.984, 0.475, 0.2, 0.265, negative
M, 0.64, 0.53, 0.165, 1.1895, 0.4765, 0.3, 0.35, negative
F, 0.655, 0.515, 0.18, 1.412, 0.6195, 0.2485, 0.497, negative
M, 0.545, 0.44, 0.14, 0.8395, 0.356, 0.1905, 0.2385, negative
M, 0.685, 0.55, 0.2, 1.7725, 0.813, 0.387, 0.49, negative
F, 0.505, 0.385, 0.115, 0.616, 0.243, 0.1075, 0.21, negative
F, 0.435, 0.32, 0.12, 0.3785, 0.152, 0.0915, 0.125, negative
M, 0.585, 0.43, 0.16, 0.955, 0.3625, 0.176, 0.27, negative
M, 0.56, 0.455, 0.165, 0.86, 0.4015, 0.1695, 0.245, negative
F, 0.59, 0.47, 0.17, 0.9, 0.355, 0.1905, 0.25, negative
M, 0.505, 0.4, 0.13, 0.764, 0.3035, 0.189, 0.2175, negative
I, 0.47, 0.35, 0.135, 0.567, 0.2315, 0.1465, 0.1525, negative
I, 0.66, 0.525, 0.215, 1.786, 0.6725, 0.3615, 0.4065, negative
M, 0.625, 0.495, 0.185, 1.3835, 0.7105, 0.3005, 0.345, negative
M, 0.6, 0.495, 0.185, 1.1145, 0.5055, 0.2635, 0.367, negative
F, 0.65, 0.525, 0.19, 1.385, 0.8875, 0.3095, 0.405, negative
F, 0.655, 0.515, 0.17, 1.527, 0.8485, 0.2635, 0.331, negative
I, 0.54, 0.425, 0.13, 0.8155, 0.3675, 0.1365, 0.246, negative
I, 0.61, 0.425, 0.155, 1.0485, 0.507, 0.1955, 0.274, negative
I, 0.61, 0.49, 0.16, 1.1545, 0.5865, 0.2385, 0.2915, negative
F, 0.615, 0.475, 0.175, 1.194, 0.559, 0.259, 0.3165, negative
F, 0.67, 0.515, 0.17, 1.4265, 0.6605, 0.3395, 0.37, negative
F, 0.61, 0.495, 0.16, 1.089, 0.469, 0.198, 0.384, negative
M, 0.63, 0.515, 0.175, 1.1955, 0.492, 0.247, 0.37, negative
F, 0.635, 0.505, 0.165, 1.251, 0.577, 0.227, 0.3825, negative
F, 0.655, 0.455, 0.17, 1.2895, 0.587, 0.3165, 0.3415, negative
F, 0.7, 0.555, 0.22, 1.666, 0.647, 0.4285, 0.455, negative
M, 0.645, 0.5, 0.18, 1.461, 0.5985, 0.2425, 0.439, negative
M, 0.67, 0.515, 0.165, 1.1735, 0.526, 0.285, 0.316, negative
M, 0.55, 0.45, 0.17, 0.81, 0.317, 0.157, 0.22, negative
M, 0.565, 0.44, 0.155, 0.868, 0.348, 0.217, 0.26, negative
F, 0.51, 0.34, 0.18, 0.7005, 0.312, 0.165, 0.2, negative
I, 0.44, 0.31, 0.115, 0.3625, 0.134, 0.082, 0.12, negative
F, 0.625, 0.495, 0.16, 1.1115, 0.4495, 0.2825, 0.345, negative
F, 0.615, 0.49, 0.19, 1.1345, 0.4695, 0.257, 0.348, negative
M, 0.65, 0.515, 0.18, 1.463, 0.658, 0.3135, 0.4115, negative
F, 0.65, 0.52, 0.195, 1.6275, 0.689, 0.3905, 0.432, negative
M, 0.655, 0.525, 0.16, 1.46, 0.686, 0.311, 0.405, negative
M, 0.65, 0.525, 0.19, 1.3685, 0.5975, 0.296, 0.4, negative
M, 0.685, 0.535, 0.175, 1.432, 0.637, 0.247, 0.46, negative
M, 0.5, 0.42, 0.125, 0.62, 0.255, 0.15, 0.205, negative
M, 0.455, 0.35, 0.105, 0.416, 0.1625, 0.097, 0.145, negative
F, 0.485, 0.4, 0.155, 0.731, 0.236, 0.183, 0.255, negative
F, 0.655, 0.545, 0.185, 1.759, 0.6865, 0.313, 0.547, negative
F, 0.585, 0.46, 0.15, 1.0035, 0.503, 0.2105, 0.2515, negative
F, 0.68, 0.55, 0.175, 1.473, 0.713, 0.282, 0.4295, negative
M, 0.6, 0.46, 0.155, 0.6655, 0.285, 0.149, 0.269, negative
M, 0.645, 0.51, 0.165, 1.403, 0.5755, 0.2515, 0.4545, negative
F, 0.69, 0.535, 0.185, 1.826, 0.797, 0.409, 0.499, negative
M, 0.585, 0.51, 0.16, 1.218, 0.639, 0.241, 0.3, negative
M, 0.585, 0.45, 0.15, 0.997, 0.4055, 0.283, 0.251, negative
M, 0.67, 0.525, 0.2, 1.7405, 0.6205, 0.297, 0.657, negative
M, 0.77, 0.605, 0.175, 2.0505, 0.8005, 0.526, 0.355, negative
M, 0.385, 0.31, 0.1, 0.2845, 0.1065, 0.075, 0.1, negative
M, 0.465, 0.36, 0.08, 0.488, 0.191, 0.125, 0.155, negative
F, 0.645, 0.505, 0.165, 1.318, 0.55, 0.3015, 0.335, negative
I, 0.575, 0.45, 0.135, 0.8245, 0.3375, 0.2115, 0.239, negative
F, 0.635, 0.495, 0.18, 1.596, 0.617, 0.317, 0.37, negative
M, 0.41, 0.31, 0.125, 0.3595, 0.1415, 0.0885, 0.115, negative
M, 0.63, 0.505, 0.155, 1.105, 0.492, 0.226, 0.325, negative
