@relation abalone-3_vs_11
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
I, 0.165, 0.12, 0.03, 0.0215, 0.007, 0.005, 0.005, positive
I, 0.14, 0.105, 0.035, 0.014, 0.0055, 0.0025, 0.004, positive
I, 0.205, 0.155, 0.045, 0.0495, 0.0235, 0.011, 0.014, positive
M, 0.49, 0.38, 0.135, 0.5415, 0.2175, 0.095, 0.19, negative
M, 0.56, 0.455, 0.155, 0.797, 0.34, 0.19, 0.2425, negative
F, 0.505, 0.41, 0.15, 0.644, 0.285, 0.145, 0.21, negative
F, 0.445, 0.355, 0.15, 0.485, 0.181, 0.125, 0.155, negative
M, 0.49, 0.395, 0.14, 0.549, 0.2215, 0.1275, 0.15, negative
F, 0.52, 0.405, 0.12, 0.627, 0.2645, 0.1415, 0.181, negative
M, 0.56, 0.435, 0.18, 0.889, 0.36, 0.204, 0.25, negative
I, 0.495, 0.39, 0.125, 0.6655, 0.284, 0.162, 0.2, negative
I, 0.47, 0.345, 0.115, 0.4885, 0.2005, 0.108, 0.166, negative
M, 0.525, 0.4, 0.17, 0.7305, 0.279, 0.2055, 0.195, negative
M, 0.375, 0.3, 0.1, 0.2465, 0.104, 0.0475, 0.083, negative
M, 0.545, 0.45, 0.15, 0.978, 0.3365, 0.1905, 0.3, negative
F, 0.53, 0.455, 0.165, 0.9805, 0.3155, 0.2815, 0.2965, negative
F, 0.62, 0.505, 0.16, 1.3725, 0.6285, 0.275, 0.3685, negative
M, 0.525, 0.4, 0.14, 0.7325, 0.334, 0.1575, 0.17, negative
M, 0.59, 0.465, 0.155, 1.136, 0.5245, 0.2615, 0.275, negative
M, 0.61, 0.47, 0.15, 1.1625, 0.565, 0.258, 0.3085, negative
M, 0.635, 0.49, 0.175, 1.375, 0.623, 0.2705, 0.395, negative
F, 0.75, 0.57, 0.21, 2.236, 1.109, 0.5195, 0.545, negative
F, 0.78, 0.63, 0.215, 2.657, 1.488, 0.4985, 0.586, negative
F, 0.6, 0.465, 0.155, 1.04, 0.4755, 0.25, 0.28, negative
F, 0.67, 0.53, 0.225, 1.5615, 0.63, 0.487, 0.3725, negative
F, 0.725, 0.6, 0.2, 1.737, 0.697, 0.3585, 0.595, negative
F, 0.73, 0.58, 0.19, 1.7375, 0.6785, 0.4345, 0.52, negative
F, 0.605, 0.485, 0.165, 0.9515, 0.4535, 0.193, 0.2765, negative
F, 0.655, 0.54, 0.215, 1.5555, 0.695, 0.296, 0.444, negative
F, 0.7, 0.55, 0.17, 1.684, 0.7535, 0.3265, 0.32, negative
I, 0.62, 0.49, 0.16, 1.066, 0.446, 0.246, 0.305, negative
M, 0.625, 0.49, 0.165, 1.1165, 0.4895, 0.2615, 0.3325, negative
M, 0.63, 0.49, 0.17, 1.1745, 0.5255, 0.273, 0.339, negative
F, 0.67, 0.54, 0.195, 1.619, 0.74, 0.3305, 0.465, negative
F, 0.685, 0.565, 0.175, 1.638, 0.7775, 0.375, 0.438, negative
M, 0.71, 0.575, 0.215, 2.009, 0.9895, 0.4475, 0.502, negative
I, 0.505, 0.405, 0.13, 0.599, 0.2245, 0.1175, 0.225, negative
M, 0.57, 0.46, 0.155, 1.0005, 0.454, 0.205, 0.265, negative
M, 0.625, 0.495, 0.155, 1.0485, 0.487, 0.212, 0.3215, negative
F, 0.625, 0.445, 0.16, 1.09, 0.46, 0.2965, 0.304, negative
F, 0.625, 0.52, 0.18, 1.354, 0.4845, 0.351, 0.375, negative
F, 0.635, 0.485, 0.165, 1.2695, 0.5635, 0.3065, 0.3395, negative
F, 0.635, 0.52, 0.165, 1.3405, 0.5065, 0.296, 0.412, negative
F, 0.635, 0.505, 0.155, 1.2895, 0.594, 0.314, 0.345, negative
M, 0.69, 0.55, 0.18, 1.6915, 0.6655, 0.402, 0.5, negative
