@relation abalone-17_vs_7-8-9-10
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
F, 0.46, 0.375, 0.12, 0.4605, 0.1775, 0.11, 0.15, negative
F, 0.505, 0.4, 0.125, 0.583, 0.246, 0.13, 0.175, negative
F, 0.53, 0.395, 0.145, 0.775, 0.308, 0.169, 0.255, negative
I, 0.275, 0.215, 0.075, 0.1155, 0.0485, 0.029, 0.035, negative
F, 0.435, 0.325, 0.11, 0.4335, 0.178, 0.0985, 0.155, negative
M, 0.235, 0.17, 0.055, 0.0515, 0.018, 0.0105, 0.0195, negative
F, 0.43, 0.34, 0.12, 0.391, 0.1555, 0.095, 0.1405, negative
I, 0.445, 0.335, 0.1, 0.4895, 0.2745, 0.086, 0.1105, negative
I, 0.445, 0.325, 0.1, 0.378, 0.1795, 0.1, 0.089, negative
I, 0.45, 0.36, 0.13, 0.478, 0.191, 0.127, 0.137, negative
I, 0.45, 0.345, 0.11, 0.47, 0.2355, 0.0855, 0.1135, negative
I, 0.455, 0.355, 0.125, 0.5325, 0.225, 0.126, 0.1465, negative
I, 0.46, 0.345, 0.105, 0.449, 0.196, 0.0945, 0.1265, negative
I, 0.465, 0.345, 0.11, 0.4415, 0.1755, 0.0905, 0.12, negative
F, 0.485, 0.37, 0.115, 0.4785, 0.1995, 0.0955, 0.129, negative
M, 0.53, 0.405, 0.125, 0.6515, 0.2715, 0.1605, 0.186, negative
I, 0.265, 0.195, 0.055, 0.084, 0.0365, 0.0175, 0.025, negative
I, 0.365, 0.265, 0.085, 0.213, 0.0945, 0.049, 0.06, negative
I, 0.375, 0.29, 0.085, 0.2385, 0.118, 0.045, 0.0695, negative
I, 0.375, 0.28, 0.08, 0.2165, 0.0935, 0.0925, 0.07, negative
I, 0.39, 0.285, 0.1, 0.281, 0.1275, 0.062, 0.077, negative
