@relation abalone-17_vs_7-8-9-10
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
I, 0.33, 0.255, 0.08, 0.205, 0.0895, 0.0395, 0.055, negative
M, 0.4, 0.32, 0.095, 0.303, 0.1335, 0.06, 0.1, negative
M, 0.405, 0.31, 0.1, 0.385, 0.173, 0.0915, 0.11, negative
I, 0.36, 0.265, 0.095, 0.2315, 0.105, 0.046, 0.075, negative
I, 0.305, 0.245, 0.075, 0.156, 0.0675, 0.038, 0.045, negative
I, 0.36, 0.285, 0.105, 0.2415, 0.0915, 0.057, 0.075, negative
M, 0.29, 0.23, 0.075, 0.1165, 0.043, 0.0255, 0.04, negative
M, 0.205, 0.155, 0.045, 0.0425, 0.017, 0.0055, 0.0155, negative
M, 0.32, 0.24, 0.085, 0.17, 0.0655, 0.047, 0.049, negative
I, 0.315, 0.23, 0.09, 0.1285, 0.043, 0.04, 0.04, negative
I, 0.275, 0.2, 0.065, 0.1035, 0.0475, 0.0205, 0.03, negative
I, 0.315, 0.24, 0.085, 0.1715, 0.071, 0.0345, 0.0535, negative
I, 0.34, 0.25, 0.07, 0.2225, 0.104, 0.0425, 0.055, negative
I, 0.41, 0.31, 0.09, 0.339, 0.155, 0.0695, 0.09, negative
I, 0.43, 0.325, 0.1, 0.3645, 0.1575, 0.0825, 0.105, negative
I, 0.44, 0.325, 0.09, 0.35, 0.148, 0.067, 0.105, negative
I, 0.45, 0.335, 0.105, 0.447, 0.2335, 0.153, 0.119, negative
I, 0.465, 0.37, 0.115, 0.534, 0.261, 0.098, 0.143, negative
M, 0.48, 0.365, 0.12, 0.6015, 0.312, 0.117, 0.14, negative
I, 0.51, 0.375, 0.1, 0.5785, 0.238, 0.1225, 0.175, negative
I, 0.42, 0.32, 0.11, 0.3625, 0.174, 0.0635, 0.105, negative
M, 0.49, 0.465, 0.125, 0.5225, 0.235, 0.13, 0.141, negative
M, 0.545, 0.39, 0.135, 0.7835, 0.4225, 0.1815, 0.156, negative
I, 0.335, 0.245, 0.09, 0.2015, 0.096, 0.0405, 0.048, negative
I, 0.425, 0.31, 0.09, 0.301, 0.1385, 0.065, 0.08, negative
I, 0.435, 0.315, 0.11, 0.3685, 0.1615, 0.0715, 0.12, negative
I, 0.515, 0.38, 0.12, 0.625, 0.3265, 0.1295, 0.16, negative
I, 0.355, 0.26, 0.09, 0.1985, 0.0715, 0.0495, 0.058, negative
I, 0.38, 0.285, 0.095, 0.243, 0.0895, 0.0665, 0.075, negative
I, 0.425, 0.315, 0.08, 0.303, 0.131, 0.0585, 0.095, negative
I, 0.535, 0.4, 0.13, 0.657, 0.2835, 0.162, 0.175, negative
I, 0.435, 0.335, 0.1, 0.3245, 0.135, 0.0785, 0.098, negative
I, 0.435, 0.345, 0.12, 0.3215, 0.13, 0.056, 0.1185, negative
I, 0.28, 0.2, 0.065, 0.0895, 0.036, 0.0185, 0.03, negative
I, 0.36, 0.27, 0.085, 0.196, 0.0905, 0.034, 0.053, negative
I, 0.46, 0.35, 0.11, 0.4675, 0.2125, 0.099, 0.1375, negative
I, 0.415, 0.305, 0.12, 0.336, 0.165, 0.076, 0.0805, negative
M, 0.27, 0.195, 0.07, 0.106, 0.0465, 0.018, 0.036, negative
M, 0.42, 0.345, 0.105, 0.43, 0.175, 0.096, 0.13, negative
I, 0.355, 0.28, 0.11, 0.2235, 0.0815, 0.0525, 0.08, negative
M, 0.37, 0.28, 0.095, 0.2225, 0.0805, 0.051, 0.075, negative
I, 0.3, 0.22, 0.09, 0.1425, 0.057, 0.0335, 0.043, negative
M, 0.48, 0.37, 0.135, 0.6315, 0.3445, 0.1015, 0.161, negative
I, 0.505, 0.39, 0.185, 0.6125, 0.267, 0.142, 0.172, negative
I, 0.34, 0.265, 0.07, 0.185, 0.0625, 0.0395, 0.07, negative
I, 0.415, 0.325, 0.1, 0.3335, 0.1445, 0.0715, 0.095, negative
I, 0.475, 0.385, 0.11, 0.5735, 0.311, 0.1025, 0.136, negative
M, 0.59, 0.465, 0.14, 1.046, 0.4695, 0.263, 0.263, negative
I, 0.465, 0.355, 0.105, 0.442, 0.2085, 0.0975, 0.1185, negative
I, 0.495, 0.38, 0.12, 0.512, 0.233, 0.1205, 0.136, negative
M, 0.545, 0.42, 0.145, 0.778, 0.3745, 0.1545, 0.205, negative
M, 0.545, 0.42, 0.12, 0.7865, 0.403, 0.185, 0.17, negative
I, 0.375, 0.275, 0.095, 0.2295, 0.095, 0.0545, 0.066, negative
I, 0.52, 0.395, 0.145, 0.77, 0.424, 0.142, 0.1895, negative
I, 0.37, 0.27, 0.09, 0.1855, 0.07, 0.0425, 0.065, negative
I, 0.435, 0.335, 0.095, 0.298, 0.109, 0.058, 0.115, negative
I, 0.515, 0.385, 0.125, 0.572, 0.237, 0.1435, 0.165, negative
I, 0.375, 0.285, 0.08, 0.226, 0.0975, 0.04, 0.0725, negative
I, 0.38, 0.29, 0.085, 0.2285, 0.088, 0.0465, 0.075, negative
I, 0.415, 0.32, 0.115, 0.3045, 0.1215, 0.0735, 0.094, negative
F, 0.55, 0.425, 0.14, 0.952, 0.4895, 0.1945, 0.2185, negative
F, 0.37, 0.295, 0.1, 0.2685, 0.1165, 0.056, 0.0835, negative
M, 0.55, 0.405, 0.15, 0.9235, 0.412, 0.2135, 0.24, negative
F, 0.435, 0.35, 0.105, 0.4195, 0.194, 0.1005, 0.13, negative
I, 0.465, 0.37, 0.1, 0.5055, 0.234, 0.11, 0.14, negative
F, 0.465, 0.355, 0.115, 0.4705, 0.1955, 0.118, 0.126, negative
I, 0.485, 0.37, 0.1, 0.513, 0.219, 0.1075, 0.13, negative
M, 0.52, 0.395, 0.125, 0.8115, 0.4035, 0.166, 0.2, negative
I, 0.475, 0.35, 0.115, 0.498, 0.2375, 0.099, 0.14, negative
I, 0.38, 0.28, 0.095, 0.2885, 0.165, 0.0435, 0.067, negative
I, 0.36, 0.265, 0.085, 0.1865, 0.0675, 0.037, 0.0615, negative
M, 0.62, 0.46, 0.17, 1.127, 0.535, 0.2635, 0.296, negative
I, 0.395, 0.31, 0.085, 0.317, 0.153, 0.0505, 0.0935, negative
I, 0.41, 0.305, 0.1, 0.2645, 0.1, 0.0655, 0.085, negative
I, 0.37, 0.28, 0.09, 0.218, 0.0995, 0.0545, 0.0615, negative
I, 0.39, 0.29, 0.1, 0.2845, 0.1255, 0.0635, 0.081, negative
M, 0.45, 0.345, 0.105, 0.4115, 0.18, 0.1125, 0.135, negative
I, 0.395, 0.29, 0.095, 0.319, 0.138, 0.08, 0.082, negative
M, 0.46, 0.345, 0.11, 0.4595, 0.235, 0.0885, 0.116, negative
I, 0.43, 0.34, 0.11, 0.3645, 0.159, 0.0855, 0.105, negative
I, 0.335, 0.26, 0.09, 0.1965, 0.0875, 0.041, 0.056, negative
I, 0.47, 0.355, 0.145, 0.4485, 0.156, 0.102, 0.123, negative
F, 0.51, 0.375, 0.11, 0.5805, 0.2865, 0.118, 0.148, negative
