@relation abalone-19_vs_10-11-12-13
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.7, 0.535, 0.16, 1.7255, 0.63, 0.2635, 0.54, positive
F, 0.565, 0.455, 0.175, 1.013, 0.342, 0.207, 0.35, positive
M, 0.595, 0.455, 0.195, 1.3305, 0.4595, 0.3235, 0.345, positive
M, 0.57, 0.405, 0.16, 0.9245, 0.3445, 0.2185, 0.295, positive
F, 0.6, 0.475, 0.18, 1.1805, 0.4345, 0.2475, 0.425, positive
M, 0.545, 0.435, 0.165, 0.9955, 0.3245, 0.2665, 0.325, positive
I, 0.38, 0.275, 0.1, 0.2255, 0.08, 0.049, 0.085, negative
F, 0.475, 0.39, 0.12, 0.5305, 0.2135, 0.1155, 0.17, negative
F, 0.625, 0.495, 0.165, 1.262, 0.507, 0.318, 0.39, negative
F, 0.5, 0.4, 0.125, 0.6675, 0.261, 0.1315, 0.22, negative
M, 0.44, 0.34, 0.105, 0.402, 0.1305, 0.0955, 0.165, negative
F, 0.605, 0.485, 0.16, 1.0565, 0.37, 0.2355, 0.355, negative
F, 0.51, 0.4, 0.14, 0.8145, 0.459, 0.1965, 0.195, negative
F, 0.49, 0.365, 0.145, 0.6345, 0.1995, 0.1625, 0.22, negative
F, 0.535, 0.415, 0.17, 0.879, 0.295, 0.1965, 0.285, negative
M, 0.57, 0.435, 0.145, 0.9055, 0.3925, 0.2355, 0.275, negative
F, 0.58, 0.455, 0.12, 1.0735, 0.479, 0.2735, 0.265, negative
F, 0.47, 0.375, 0.125, 0.5615, 0.252, 0.137, 0.18, negative
F, 0.41, 0.325, 0.105, 0.3635, 0.159, 0.077, 0.12, negative
F, 0.515, 0.405, 0.12, 0.646, 0.2895, 0.1405, 0.177, negative
M, 0.555, 0.45, 0.175, 0.874, 0.3275, 0.202, 0.305, negative
M, 0.35, 0.255, 0.065, 0.179, 0.0705, 0.0385, 0.06, negative
I, 0.61, 0.475, 0.15, 0.9665, 0.4145, 0.2, 0.345, negative
I, 0.52, 0.425, 0.17, 0.6805, 0.28, 0.174, 0.195, negative
M, 0.345, 0.255, 0.08, 0.169, 0.06, 0.0425, 0.054, negative
F, 0.415, 0.34, 0.13, 0.3675, 0.146, 0.0885, 0.12, negative
M, 0.445, 0.345, 0.09, 0.3795, 0.143, 0.074, 0.125, negative
M, 0.485, 0.355, 0.12, 0.547, 0.215, 0.1615, 0.14, negative
M, 0.46, 0.34, 0.135, 0.495, 0.1655, 0.117, 0.185, negative
M, 0.55, 0.45, 0.15, 1.0145, 0.407, 0.2015, 0.2875, negative
M, 0.58, 0.455, 0.15, 1.012, 0.4985, 0.2115, 0.2835, negative
F, 0.625, 0.475, 0.175, 1.1435, 0.4755, 0.2475, 0.349, negative
M, 0.64, 0.505, 0.155, 1.4025, 0.705, 0.2655, 0.335, negative
M, 0.715, 0.565, 0.175, 1.9525, 0.7645, 0.4185, 0.4135, negative
I, 0.54, 0.42, 0.14, 0.6665, 0.3125, 0.138, 0.1895, negative
M, 0.605, 0.48, 0.17, 1.1835, 0.582, 0.2365, 0.317, negative
M, 0.615, 0.46, 0.17, 1.0565, 0.4815, 0.272, 0.27, negative
M, 0.64, 0.515, 0.165, 1.369, 0.632, 0.3415, 0.358, negative
M, 0.715, 0.535, 0.19, 1.6755, 0.889, 0.313, 0.42, negative
I, 0.555, 0.43, 0.155, 0.7395, 0.3135, 0.1435, 0.28, negative
