@relation abalone-19_vs_10-11-12-13
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.63, 0.515, 0.16, 1.016, 0.4215, 0.244, 0.355, positive
F, 0.68, 0.58, 0.2, 1.787, 0.585, 0.453, 0.6, positive
F, 0.58, 0.46, 0.15, 0.9955, 0.429, 0.212, 0.26, positive
F, 0.59, 0.45, 0.16, 0.9, 0.358, 0.156, 0.315, positive
M, 0.525, 0.395, 0.165, 0.782, 0.285, 0.1405, 0.285, positive
F, 0.53, 0.41, 0.165, 0.8115, 0.24, 0.169, 0.24, positive
M, 0.43, 0.35, 0.11, 0.406, 0.1675, 0.081, 0.135, negative
F, 0.47, 0.36, 0.12, 0.4775, 0.2105, 0.1055, 0.15, negative
F, 0.53, 0.41, 0.13, 0.6965, 0.302, 0.1935, 0.2, negative
F, 0.635, 0.515, 0.19, 1.3715, 0.5065, 0.305, 0.45, negative
F, 0.56, 0.45, 0.16, 1.0235, 0.429, 0.268, 0.3, negative
F, 0.62, 0.475, 0.175, 1.0165, 0.4355, 0.214, 0.325, negative
M, 0.53, 0.435, 0.155, 0.699, 0.288, 0.1595, 0.205, negative
I, 0.415, 0.325, 0.1, 0.3215, 0.1535, 0.0595, 0.105, negative
M, 0.475, 0.375, 0.125, 0.593, 0.277, 0.115, 0.18, negative
F, 0.5, 0.395, 0.14, 0.7155, 0.3165, 0.176, 0.24, negative
F, 0.515, 0.415, 0.14, 0.6935, 0.3115, 0.152, 0.2, negative
F, 0.545, 0.415, 0.16, 0.7715, 0.272, 0.1455, 0.2765, negative
I, 0.68, 0.53, 0.185, 1.1095, 0.439, 0.245, 0.34, negative
F, 0.385, 0.315, 0.11, 0.286, 0.1225, 0.0635, 0.0835, negative
M, 0.37, 0.285, 0.1, 0.228, 0.0675, 0.0675, 0.081, negative
M, 0.34, 0.265, 0.085, 0.1835, 0.077, 0.046, 0.065, negative
M, 0.46, 0.365, 0.125, 0.467, 0.1895, 0.0945, 0.158, negative
F, 0.37, 0.28, 0.11, 0.2305, 0.0945, 0.0465, 0.075, negative
F, 0.395, 0.295, 0.095, 0.2245, 0.078, 0.054, 0.08, negative
M, 0.51, 0.4, 0.14, 0.6515, 0.2455, 0.1665, 0.185, negative
M, 0.36, 0.295, 0.13, 0.2765, 0.0895, 0.057, 0.1005, negative
M, 0.51, 0.39, 0.125, 0.6565, 0.262, 0.1835, 0.175, negative
M, 0.515, 0.38, 0.135, 0.6615, 0.2875, 0.2095, 0.155, negative
F, 0.545, 0.44, 0.135, 0.9185, 0.429, 0.2015, 0.2375, negative
M, 0.565, 0.45, 0.155, 1.0595, 0.4735, 0.24, 0.265, negative
F, 0.595, 0.48, 0.15, 1.11, 0.498, 0.228, 0.33, negative
