@relation abalone-19_vs_10-11-12-13
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
F, 0.68, 0.55, 0.175, 1.798, 0.815, 0.3925, 0.455, positive
M, 0.6, 0.5, 0.16, 1.015, 0.3995, 0.1735, 0.33, positive
F, 0.505, 0.425, 0.14, 0.85, 0.275, 0.1625, 0.285, positive
F, 0.645, 0.525, 0.19, 1.4635, 0.6615, 0.3435, 0.435, positive
I, 0.45, 0.355, 0.12, 0.412, 0.1145, 0.0665, 0.16, positive
F, 0.69, 0.555, 0.205, 1.8165, 0.7785, 0.4395, 0.515, positive
I, 0.52, 0.39, 0.14, 0.7325, 0.2415, 0.144, 0.26, positive
F, 0.475, 0.375, 0.125, 0.5785, 0.2775, 0.085, 0.155, negative
M, 0.515, 0.405, 0.13, 0.722, 0.32, 0.131, 0.21, negative
F, 0.63, 0.5, 0.185, 1.383, 0.54, 0.3315, 0.38, negative
M, 0.47, 0.36, 0.135, 0.501, 0.1665, 0.115, 0.165, negative
I, 0.425, 0.38, 0.105, 0.3265, 0.1285, 0.0785, 0.1, negative
F, 0.585, 0.45, 0.16, 1.077, 0.4995, 0.2875, 0.25, negative
M, 0.535, 0.42, 0.145, 0.791, 0.33, 0.189, 0.25, negative
I, 0.395, 0.295, 0.1, 0.2715, 0.134, 0.0325, 0.085, negative
F, 0.49, 0.38, 0.145, 0.6725, 0.249, 0.181, 0.21, negative
F, 0.38, 0.29, 0.105, 0.257, 0.099, 0.051, 0.085, negative
F, 0.585, 0.435, 0.175, 0.982, 0.4055, 0.2495, 0.27, negative
I, 0.485, 0.37, 0.13, 0.458, 0.181, 0.113, 0.136, negative
M, 0.485, 0.37, 0.14, 0.5725, 0.204, 0.1415, 0.175, negative
M, 0.5, 0.375, 0.15, 0.636, 0.2535, 0.145, 0.19, negative
F, 0.345, 0.26, 0.09, 0.207, 0.0775, 0.0435, 0.0765, negative
M, 0.515, 0.435, 0.145, 0.8815, 0.292, 0.206, 0.255, negative
M, 0.45, 0.335, 0.125, 0.349, 0.119, 0.1055, 0.115, negative
F, 0.44, 0.34, 0.13, 0.4195, 0.153, 0.1155, 0.13, negative
M, 0.625, 0.49, 0.175, 1.3325, 0.5705, 0.271, 0.405, negative
F, 0.64, 0.5, 0.175, 1.394, 0.4935, 0.291, 0.4, negative
F, 0.645, 0.5, 0.16, 1.2465, 0.5475, 0.327, 0.3, negative
F, 0.655, 0.51, 0.175, 1.6525, 0.8515, 0.3365, 0.403, negative
M, 0.66, 0.495, 0.195, 1.6275, 0.594, 0.3595, 0.485, negative
F, 0.675, 0.57, 0.225, 1.587, 0.739, 0.2995, 0.435, negative
F, 0.645, 0.48, 0.17, 1.1345, 0.528, 0.254, 0.305, negative
F, 0.655, 0.51, 0.175, 1.415, 0.5885, 0.3725, 0.364, negative
F, 0.72, 0.55, 0.2, 1.9965, 0.9035, 0.469, 0.5215, negative
I, 0.52, 0.4, 0.13, 0.5825, 0.233, 0.1365, 0.18, negative
F, 0.56, 0.445, 0.155, 1.224, 0.5565, 0.3225, 0.2695, negative
M, 0.57, 0.435, 0.17, 0.873, 0.382, 0.183, 0.2705, negative
I, 0.585, 0.475, 0.16, 1.0505, 0.48, 0.234, 0.285, negative
M, 0.585, 0.47, 0.165, 1.409, 0.8, 0.229, 0.295, negative
F, 0.6, 0.455, 0.145, 0.8895, 0.419, 0.1715, 0.269, negative
M, 0.605, 0.49, 0.14, 0.9755, 0.419, 0.206, 0.315, negative
F, 0.615, 0.475, 0.155, 1.115, 0.484, 0.2115, 0.355, negative
M, 0.635, 0.475, 0.17, 1.1935, 0.5205, 0.2695, 0.3665, negative
F, 0.665, 0.53, 0.18, 1.491, 0.6345, 0.342, 0.435, negative
F, 0.63, 0.49, 0.225, 1.336, 0.6805, 0.259, 0.3245, negative
F, 0.645, 0.515, 0.175, 1.546, 0.7035, 0.365, 0.415, negative
M, 0.65, 0.515, 0.175, 1.466, 0.677, 0.3045, 0.4, negative
M, 0.56, 0.425, 0.135, 0.849, 0.3265, 0.221, 0.2645, negative
M, 0.565, 0.43, 0.15, 0.831, 0.4245, 0.1735, 0.219, negative
I, 0.575, 0.425, 0.135, 0.7965, 0.364, 0.196, 0.239, negative
M, 0.58, 0.43, 0.13, 0.798, 0.365, 0.173, 0.2285, negative
F, 0.61, 0.475, 0.16, 1.1155, 0.3835, 0.223, 0.379, negative
I, 0.62, 0.45, 0.135, 0.924, 0.358, 0.2265, 0.2965, negative
M, 0.625, 0.475, 0.16, 1.0845, 0.5005, 0.2355, 0.3105, negative
F, 0.635, 0.49, 0.175, 1.2435, 0.5805, 0.313, 0.305, negative
F, 0.64, 0.505, 0.165, 1.2235, 0.5215, 0.2695, 0.36, negative
M, 0.645, 0.51, 0.195, 1.226, 0.5885, 0.2215, 0.3745, negative
M, 0.655, 0.55, 0.18, 1.274, 0.586, 0.281, 0.365, negative
M, 0.68, 0.52, 0.195, 1.4535, 0.592, 0.391, 0.4125, negative
F, 0.71, 0.54, 0.205, 1.5805, 0.802, 0.287, 0.435, negative
M, 0.605, 0.475, 0.15, 1.15, 0.575, 0.232, 0.297, negative
M, 0.65, 0.485, 0.16, 1.7395, 0.5715, 0.2785, 0.3075, negative
I, 0.515, 0.42, 0.15, 0.6725, 0.2555, 0.1335, 0.235, negative
M, 0.575, 0.435, 0.135, 0.992, 0.432, 0.2225, 0.239, negative
M, 0.58, 0.44, 0.15, 1.0465, 0.518, 0.2185, 0.2795, negative
M, 0.595, 0.455, 0.15, 0.886, 0.4315, 0.201, 0.223, negative
I, 0.64, 0.49, 0.135, 1.1, 0.488, 0.2505, 0.2925, negative
F, 0.705, 0.535, 0.22, 1.866, 0.929, 0.3835, 0.4395, negative
F, 0.71, 0.5, 0.15, 1.3165, 0.6835, 0.2815, 0.28, negative
F, 0.5, 0.4, 0.125, 0.5765, 0.2395, 0.126, 0.185, negative
F, 0.45, 0.36, 0.125, 0.5065, 0.222, 0.105, 0.16, negative
F, 0.495, 0.385, 0.13, 0.6905, 0.3125, 0.179, 0.175, negative
M, 0.34, 0.275, 0.09, 0.2065, 0.0725, 0.043, 0.07, negative
M, 0.33, 0.25, 0.09, 0.197, 0.085, 0.041, 0.0605, negative
F, 0.58, 0.46, 0.185, 1.017, 0.3515, 0.2, 0.32, negative
I, 0.475, 0.365, 0.12, 0.53, 0.2505, 0.0975, 0.1625, negative
F, 0.625, 0.49, 0.155, 1.33, 0.6675, 0.259, 0.33, negative
M, 0.63, 0.5, 0.185, 1.362, 0.5785, 0.3125, 0.384, negative
F, 0.615, 0.485, 0.16, 1.1575, 0.5005, 0.2495, 0.315, negative
F, 0.705, 0.56, 0.205, 2.381, 0.9915, 0.5005, 0.624, negative
