@relation abalone-19_vs_10-11-12-13
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
F, 0.66, 0.52, 0.18, 1.514, 0.526, 0.2975, 0.42, positive
M, 0.695, 0.57, 0.23, 1.885, 0.8665, 0.435, 0.5, positive
F, 0.705, 0.555, 0.2, 1.4685, 0.4715, 0.3235, 0.52, positive
F, 0.58, 0.44, 0.175, 1.073, 0.4005, 0.2345, 0.335, positive
M, 0.645, 0.515, 0.185, 1.4605, 0.5835, 0.3155, 0.41, positive
F, 0.55, 0.44, 0.15, 0.8945, 0.3145, 0.151, 0.32, positive
F, 0.6, 0.47, 0.15, 0.922, 0.363, 0.194, 0.305, negative
M, 0.56, 0.44, 0.16, 0.8645, 0.3305, 0.2075, 0.26, negative
F, 0.565, 0.445, 0.155, 0.826, 0.341, 0.2055, 0.2475, negative
M, 0.46, 0.35, 0.12, 0.515, 0.224, 0.108, 0.1565, negative
M, 0.585, 0.46, 0.185, 0.922, 0.3635, 0.213, 0.285, negative
F, 0.535, 0.435, 0.16, 0.8105, 0.3155, 0.1795, 0.24, negative
M, 0.45, 0.35, 0.1, 0.3675, 0.1465, 0.1015, 0.12, negative
I, 0.415, 0.31, 0.11, 0.2965, 0.123, 0.057, 0.0995, negative
I, 0.47, 0.37, 0.14, 0.4985, 0.2095, 0.1225, 0.145, negative
I, 0.56, 0.425, 0.14, 0.9175, 0.4005, 0.1975, 0.26, negative
F, 0.425, 0.335, 0.095, 0.322, 0.1205, 0.061, 0.125, negative
M, 0.49, 0.38, 0.14, 0.7605, 0.245, 0.167, 0.185, negative
F, 0.57, 0.465, 0.16, 0.8935, 0.3145, 0.2575, 0.263, negative
M, 0.57, 0.435, 0.13, 0.7535, 0.349, 0.1755, 0.194, negative
F, 0.6, 0.475, 0.155, 1.21, 0.653, 0.1695, 0.3205, negative
M, 0.57, 0.45, 0.155, 1.1935, 0.513, 0.21, 0.343, negative
F, 0.645, 0.515, 0.15, 1.212, 0.515, 0.2055, 0.385, negative
M, 0.55, 0.425, 0.15, 0.8315, 0.411, 0.1765, 0.2165, negative
M, 0.685, 0.52, 0.165, 1.519, 0.699, 0.3685, 0.4, negative
I, 0.53, 0.42, 0.155, 0.81, 0.4725, 0.111, 0.192, negative
F, 0.54, 0.42, 0.145, 0.8655, 0.4315, 0.163, 0.2175, negative
I, 0.57, 0.45, 0.145, 0.751, 0.2825, 0.2195, 0.2215, negative
I, 0.57, 0.44, 0.13, 0.7665, 0.347, 0.1785, 0.202, negative
M, 0.58, 0.455, 0.135, 0.7955, 0.405, 0.167, 0.204, negative
M, 0.59, 0.455, 0.155, 0.8855, 0.388, 0.188, 0.275, negative
F, 0.595, 0.465, 0.15, 0.98, 0.4115, 0.196, 0.2255, negative
M, 0.615, 0.47, 0.165, 1.128, 0.4465, 0.2195, 0.34, negative
F, 0.65, 0.51, 0.17, 1.567, 0.7245, 0.349, 0.391, negative
M, 0.655, 0.49, 0.175, 1.3585, 0.6395, 0.294, 0.365, negative
F, 0.67, 0.505, 0.175, 1.0145, 0.4375, 0.271, 0.3745, negative
M, 0.625, 0.52, 0.175, 1.4105, 0.691, 0.322, 0.3465, negative
F, 0.635, 0.505, 0.145, 1.1345, 0.505, 0.2655, 0.315, negative
M, 0.66, 0.505, 0.165, 1.374, 0.589, 0.351, 0.345, negative
F, 0.665, 0.515, 0.18, 1.389, 0.5945, 0.324, 0.395, negative
I, 0.53, 0.43, 0.135, 0.6255, 0.245, 0.1455, 0.2135, negative
M, 0.54, 0.455, 0.14, 0.972, 0.419, 0.255, 0.269, negative
M, 0.575, 0.47, 0.185, 0.985, 0.3745, 0.2175, 0.355, negative
I, 0.575, 0.45, 0.135, 0.807, 0.3615, 0.176, 0.254, negative
M, 0.595, 0.45, 0.14, 0.838, 0.3965, 0.194, 0.217, negative
M, 0.6, 0.47, 0.16, 1.194, 0.5625, 0.3045, 0.2635, negative
M, 0.61, 0.475, 0.155, 0.983, 0.4565, 0.228, 0.266, negative
M, 0.615, 0.47, 0.16, 1.0175, 0.473, 0.2395, 0.28, negative
M, 0.645, 0.5, 0.175, 1.3375, 0.554, 0.308, 0.415, negative
F, 0.645, 0.51, 0.19, 1.363, 0.573, 0.362, 0.36, negative
M, 0.66, 0.53, 0.195, 1.5505, 0.6505, 0.3295, 0.495, negative
F, 0.675, 0.51, 0.195, 1.382, 0.6045, 0.3175, 0.3965, negative
M, 0.525, 0.365, 0.17, 0.9605, 0.438, 0.2225, 0.276, negative
F, 0.55, 0.38, 0.165, 1.205, 0.543, 0.294, 0.3345, negative
I, 0.575, 0.45, 0.13, 0.8145, 0.403, 0.1715, 0.213, negative
F, 0.615, 0.455, 0.145, 1.1155, 0.5045, 0.238, 0.315, negative
I, 0.545, 0.425, 0.14, 0.8145, 0.305, 0.231, 0.244, negative
I, 0.55, 0.435, 0.14, 0.7995, 0.295, 0.1905, 0.238, negative
M, 0.605, 0.47, 0.18, 1.1155, 0.479, 0.2565, 0.321, negative
F, 0.61, 0.46, 0.145, 1.1185, 0.478, 0.2945, 0.2985, negative
F, 0.73, 0.555, 0.18, 1.6895, 0.6555, 0.1965, 0.4935, negative
M, 0.47, 0.37, 0.105, 0.4665, 0.2025, 0.1015, 0.155, negative
M, 0.445, 0.355, 0.11, 0.4415, 0.1805, 0.1035, 0.1505, negative
M, 0.595, 0.465, 0.125, 0.799, 0.3245, 0.2, 0.23, negative
I, 0.4, 0.31, 0.1, 0.2875, 0.1145, 0.0635, 0.095, negative
I, 0.515, 0.375, 0.14, 0.6505, 0.2495, 0.141, 0.2215, negative
M, 0.29, 0.225, 0.08, 0.1295, 0.0535, 0.026, 0.045, negative
F, 0.505, 0.375, 0.115, 0.5895, 0.2635, 0.12, 0.167, negative
F, 0.41, 0.315, 0.11, 0.321, 0.1255, 0.0655, 0.095, negative
F, 0.53, 0.385, 0.125, 0.6695, 0.289, 0.151, 0.18, negative
F, 0.42, 0.33, 0.125, 0.463, 0.186, 0.11, 0.145, negative
M, 0.595, 0.49, 0.185, 1.185, 0.482, 0.2015, 0.361, negative
