@relation abalone-19_vs_10-11-12-13
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.56, 0.45, 0.185, 1.07, 0.3805, 0.175, 0.41, positive
F, 0.605, 0.485, 0.165, 1.0105, 0.435, 0.209, 0.3, positive
M, 0.5, 0.38, 0.155, 0.66, 0.2655, 0.1365, 0.215, positive
M, 0.59, 0.475, 0.16, 0.9455, 0.3815, 0.184, 0.27, positive
M, 0.54, 0.41, 0.145, 0.989, 0.2815, 0.213, 0.355, positive
M, 0.54, 0.405, 0.155, 0.9715, 0.3225, 0.194, 0.29, positive
M, 0.69, 0.55, 0.2, 1.8465, 0.732, 0.472, 0.57, positive
M, 0.44, 0.365, 0.125, 0.516, 0.2155, 0.114, 0.155, negative
F, 0.535, 0.405, 0.145, 0.6845, 0.2725, 0.171, 0.205, negative
F, 0.47, 0.355, 0.1, 0.4755, 0.1675, 0.0805, 0.185, negative
F, 0.44, 0.34, 0.1, 0.451, 0.188, 0.087, 0.13, negative
M, 0.58, 0.47, 0.165, 0.9975, 0.3935, 0.242, 0.33, negative
M, 0.485, 0.36, 0.13, 0.5415, 0.2595, 0.096, 0.16, negative
F, 0.55, 0.45, 0.145, 0.741, 0.295, 0.1435, 0.2665, negative
M, 0.475, 0.375, 0.13, 0.5175, 0.2075, 0.1165, 0.17, negative
F, 0.49, 0.38, 0.125, 0.549, 0.245, 0.1075, 0.174, negative
I, 0.35, 0.26, 0.085, 0.174, 0.0705, 0.0345, 0.06, negative
M, 0.545, 0.46, 0.16, 0.8975, 0.341, 0.1655, 0.345, negative
M, 0.545, 0.425, 0.135, 0.8445, 0.373, 0.21, 0.235, negative
M, 0.46, 0.38, 0.135, 0.482, 0.207, 0.1225, 0.145, negative
I, 0.36, 0.275, 0.11, 0.2335, 0.095, 0.0525, 0.085, negative
F, 0.375, 0.29, 0.115, 0.2705, 0.093, 0.066, 0.0885, negative
I, 0.5, 0.385, 0.15, 0.6265, 0.2605, 0.1665, 0.16, negative
M, 0.415, 0.325, 0.14, 0.417, 0.1535, 0.1015, 0.144, negative
M, 0.4, 0.305, 0.085, 0.297, 0.108, 0.0705, 0.1, negative
M, 0.61, 0.475, 0.155, 1.168, 0.554, 0.239, 0.3295, negative
F, 0.625, 0.48, 0.17, 1.3525, 0.6235, 0.278, 0.365, negative
F, 0.645, 0.5, 0.155, 1.2205, 0.6145, 0.236, 0.3185, negative
M, 0.65, 0.525, 0.185, 1.622, 0.6645, 0.3225, 0.477, negative
F, 0.575, 0.45, 0.16, 1.068, 0.556, 0.214, 0.2575, negative
M, 0.695, 0.56, 0.185, 1.74, 0.885, 0.3715, 0.4375, negative
F, 0.72, 0.58, 0.195, 2.103, 1.0265, 0.48, 0.5375, negative
I, 0.55, 0.435, 0.14, 0.7535, 0.3285, 0.1555, 0.2325, negative
M, 0.61, 0.45, 0.15, 0.871, 0.407, 0.1835, 0.25, negative
M, 0.61, 0.48, 0.17, 1.137, 0.4565, 0.29, 0.347, negative
M, 0.61, 0.46, 0.16, 1.0, 0.494, 0.197, 0.275, negative
M, 0.64, 0.525, 0.18, 1.3135, 0.4865, 0.2995, 0.4075, negative
F, 0.655, 0.52, 0.19, 1.4545, 0.6, 0.3865, 0.383, negative
F, 0.63, 0.5, 0.175, 1.1105, 0.467, 0.268, 0.329, negative
M, 0.58, 0.46, 0.155, 1.0335, 0.469, 0.2225, 0.295, negative
I, 0.59, 0.45, 0.145, 1.022, 0.428, 0.268, 0.265, negative
M, 0.595, 0.45, 0.145, 0.959, 0.463, 0.2065, 0.2535, negative
F, 0.61, 0.465, 0.16, 1.0725, 0.4835, 0.2515, 0.28, negative
F, 0.67, 0.55, 0.155, 1.566, 0.858, 0.339, 0.354, negative
I, 0.465, 0.325, 0.14, 0.7615, 0.362, 0.1535, 0.209, negative
F, 0.545, 0.415, 0.2, 1.358, 0.567, 0.318, 0.403, negative
M, 0.55, 0.42, 0.16, 1.3405, 0.6325, 0.311, 0.344, negative
M, 0.575, 0.44, 0.185, 1.025, 0.5075, 0.2245, 0.2485, negative
F, 0.64, 0.515, 0.165, 1.3115, 0.4945, 0.2555, 0.41, negative
F, 0.66, 0.535, 0.205, 1.4415, 0.5925, 0.2775, 0.49, negative
F, 0.665, 0.5, 0.15, 1.2475, 0.4625, 0.2955, 0.3595, negative
M, 0.68, 0.54, 0.155, 1.534, 0.671, 0.379, 0.384, negative
M, 0.59, 0.465, 0.165, 1.115, 0.5165, 0.273, 0.275, negative
F, 0.54, 0.385, 0.14, 0.7655, 0.3265, 0.116, 0.2365, negative
F, 0.38, 0.325, 0.11, 0.3105, 0.12, 0.074, 0.105, negative
M, 0.525, 0.405, 0.135, 0.7575, 0.3305, 0.216, 0.195, negative
F, 0.48, 0.405, 0.13, 0.6375, 0.277, 0.1445, 0.21, negative
M, 0.37, 0.29, 0.09, 0.241, 0.11, 0.045, 0.069, negative
M, 0.54, 0.415, 0.17, 0.879, 0.339, 0.208, 0.255, negative
M, 0.35, 0.26, 0.09, 0.198, 0.0725, 0.056, 0.06, negative
F, 0.515, 0.395, 0.165, 0.7565, 0.1905, 0.17, 0.3205, negative
F, 0.7, 0.525, 0.19, 1.6015, 0.707, 0.365, 0.43, negative
