@relation abalone-21_vs_8
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
F, 0.63, 0.485, 0.19, 1.2435, 0.4635, 0.3055, 0.39, positive
M, 0.735, 0.59, 0.225, 1.756, 0.637, 0.3405, 0.58, positive
M, 0.445, 0.35, 0.12, 0.4425, 0.192, 0.0955, 0.135, negative
M, 0.52, 0.4, 0.12, 0.58, 0.234, 0.1315, 0.185, negative
F, 0.4, 0.32, 0.11, 0.353, 0.1405, 0.0985, 0.1, negative
M, 0.405, 0.305, 0.085, 0.2605, 0.1145, 0.0595, 0.085, negative
I, 0.315, 0.245, 0.085, 0.1435, 0.053, 0.0475, 0.05, negative
I, 0.355, 0.275, 0.085, 0.22, 0.092, 0.06, 0.15, negative
M, 0.45, 0.35, 0.13, 0.46, 0.174, 0.111, 0.135, negative
F, 0.415, 0.305, 0.13, 0.32, 0.1305, 0.0755, 0.105, negative
I, 0.33, 0.255, 0.085, 0.1655, 0.063, 0.039, 0.06, negative
I, 0.36, 0.28, 0.09, 0.2255, 0.0885, 0.04, 0.09, negative
F, 0.4, 0.325, 0.12, 0.3185, 0.134, 0.0565, 0.095, negative
F, 0.61, 0.495, 0.185, 1.153, 0.536, 0.2905, 0.245, negative
M, 0.47, 0.38, 0.145, 0.5865, 0.2385, 0.144, 0.185, negative
M, 0.57, 0.44, 0.095, 0.827, 0.3395, 0.2215, 0.235, negative
I, 0.29, 0.225, 0.07, 0.101, 0.036, 0.0235, 0.035, negative
I, 0.335, 0.26, 0.1, 0.192, 0.0785, 0.0585, 0.07, negative
M, 0.445, 0.35, 0.115, 0.3615, 0.1565, 0.0695, 0.117, negative
I, 0.45, 0.35, 0.13, 0.547, 0.245, 0.1405, 0.1405, negative
F, 0.48, 0.365, 0.135, 0.6395, 0.2945, 0.113, 0.175, negative
I, 0.315, 0.23, 0.07, 0.144, 0.053, 0.0305, 0.04, negative
I, 0.435, 0.325, 0.12, 0.3995, 0.1815, 0.061, 0.1125, negative
M, 0.51, 0.41, 0.145, 0.796, 0.3865, 0.1815, 0.1955, negative
F, 0.58, 0.46, 0.18, 1.0515, 0.4095, 0.2595, 0.276, negative
M, 0.59, 0.47, 0.16, 1.206, 0.479, 0.2425, 0.309, negative
I, 0.525, 0.395, 0.12, 0.608, 0.297, 0.1395, 0.1405, negative
F, 0.55, 0.415, 0.135, 0.8145, 0.427, 0.1855, 0.175, negative
M, 0.56, 0.445, 0.16, 0.8965, 0.42, 0.2175, 0.2215, negative
M, 0.56, 0.415, 0.145, 0.852, 0.43, 0.1885, 0.205, negative
M, 0.58, 0.45, 0.145, 1.0025, 0.547, 0.1975, 0.2295, negative
F, 0.6, 0.465, 0.15, 1.1025, 0.5455, 0.262, 0.25, negative
F, 0.62, 0.48, 0.16, 1.1125, 0.5635, 0.2445, 0.281, negative
I, 0.35, 0.255, 0.09, 0.1785, 0.0855, 0.0305, 0.0525, negative
I, 0.47, 0.365, 0.1, 0.411, 0.175, 0.0855, 0.135, negative
I, 0.475, 0.355, 0.1, 0.5035, 0.2535, 0.091, 0.14, negative
M, 0.495, 0.395, 0.12, 0.553, 0.224, 0.1375, 0.167, negative
M, 0.44, 0.32, 0.12, 0.4565, 0.2435, 0.092, 0.1025, negative
I, 0.515, 0.395, 0.125, 0.556, 0.2695, 0.096, 0.17, negative
M, 0.57, 0.445, 0.15, 0.9875, 0.504, 0.207, 0.249, negative
F, 0.59, 0.46, 0.145, 0.9905, 0.453, 0.2205, 0.275, negative
M, 0.635, 0.51, 0.185, 1.308, 0.544, 0.318, 0.377, negative
I, 0.495, 0.37, 0.125, 0.4715, 0.2075, 0.091, 0.15, negative
I, 0.5, 0.4, 0.12, 0.616, 0.261, 0.143, 0.1935, negative
I, 0.515, 0.395, 0.125, 0.6635, 0.32, 0.14, 0.17, negative
