@relation abalone-21_vs_8
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.64, 0.51, 0.175, 1.368, 0.515, 0.266, 0.57, positive
F, 0.49, 0.365, 0.13, 0.6835, 0.165, 0.1315, 0.205, positive
F, 0.625, 0.42, 0.165, 1.0595, 0.358, 0.165, 0.445, positive
M, 0.465, 0.355, 0.105, 0.4795, 0.227, 0.124, 0.125, negative
F, 0.45, 0.355, 0.105, 0.5225, 0.237, 0.1165, 0.145, negative
M, 0.475, 0.355, 0.12, 0.48, 0.234, 0.1015, 0.135, negative
M, 0.47, 0.375, 0.13, 0.523, 0.214, 0.132, 0.145, negative
I, 0.385, 0.29, 0.085, 0.2505, 0.112, 0.061, 0.08, negative
I, 0.3, 0.23, 0.08, 0.1275, 0.0435, 0.0265, 0.04, negative
M, 0.35, 0.275, 0.11, 0.2925, 0.1225, 0.0635, 0.0905, negative
F, 0.46, 0.425, 0.155, 0.746, 0.3005, 0.152, 0.24, negative
M, 0.355, 0.265, 0.09, 0.168, 0.05, 0.041, 0.063, negative
M, 0.385, 0.275, 0.115, 0.2685, 0.0975, 0.0825, 0.085, negative
M, 0.525, 0.395, 0.13, 0.7635, 0.3375, 0.1425, 0.225, negative
M, 0.47, 0.365, 0.12, 0.612, 0.327, 0.15, 0.14, negative
F, 0.47, 0.365, 0.12, 0.582, 0.29, 0.092, 0.146, negative
M, 0.49, 0.385, 0.125, 0.649, 0.32, 0.124, 0.1695, negative
I, 0.505, 0.355, 0.125, 0.601, 0.25, 0.1205, 0.185, negative
F, 0.515, 0.43, 0.14, 0.834, 0.367, 0.2, 0.23, negative
F, 0.57, 0.455, 0.15, 1.107, 0.54, 0.255, 0.27, negative
M, 0.57, 0.445, 0.14, 1.0635, 0.5265, 0.2195, 0.24, negative
I, 0.52, 0.38, 0.125, 0.5545, 0.288, 0.1295, 0.167, negative
I, 0.53, 0.4, 0.125, 0.617, 0.279, 0.127, 0.19, negative
M, 0.665, 0.525, 0.16, 1.363, 0.629, 0.279, 0.34, negative
I, 0.375, 0.28, 0.08, 0.2025, 0.0825, 0.048, 0.065, negative
I, 0.455, 0.33, 0.1, 0.372, 0.358, 0.0775, 0.11, negative
I, 0.495, 0.355, 0.12, 0.4965, 0.214, 0.1045, 0.1495, negative
I, 0.505, 0.405, 0.13, 0.6015, 0.3015, 0.11, 0.18, negative
M, 0.565, 0.445, 0.15, 0.796, 0.3635, 0.184, 0.219, negative
M, 0.585, 0.45, 0.18, 0.7995, 0.336, 0.1855, 0.237, negative
I, 0.405, 0.31, 0.095, 0.3425, 0.1785, 0.064, 0.0855, negative
M, 0.53, 0.4, 0.125, 0.7575, 0.398, 0.151, 0.175, negative
M, 0.6, 0.455, 0.155, 0.945, 0.4365, 0.2085, 0.25, negative
I, 0.49, 0.4, 0.135, 0.624, 0.3035, 0.1285, 0.169, negative
I, 0.545, 0.375, 0.12, 0.543, 0.2375, 0.1155, 0.1725, negative
F, 0.57, 0.45, 0.135, 0.7805, 0.3345, 0.185, 0.21, negative
F, 0.58, 0.435, 0.15, 0.834, 0.428, 0.1515, 0.23, negative
F, 0.595, 0.435, 0.15, 0.9, 0.4175, 0.17, 0.265, negative
I, 0.595, 0.46, 0.15, 0.8335, 0.377, 0.1925, 0.235, negative
M, 0.605, 0.475, 0.145, 0.884, 0.3835, 0.1905, 0.27, negative
I, 0.585, 0.45, 0.15, 0.8915, 0.3975, 0.2035, 0.253, negative
I, 0.43, 0.34, 0.1, 0.3405, 0.1395, 0.0665, 0.12, negative
I, 0.435, 0.33, 0.105, 0.335, 0.156, 0.0555, 0.105, negative
I, 0.485, 0.36, 0.12, 0.5155, 0.2465, 0.1025, 0.147, negative
I, 0.495, 0.375, 0.14, 0.494, 0.181, 0.0975, 0.191, negative
F, 0.61, 0.46, 0.155, 0.957, 0.4255, 0.1975, 0.265, negative
I, 0.445, 0.32, 0.12, 0.378, 0.152, 0.0825, 0.12, negative
M, 0.46, 0.345, 0.12, 0.4935, 0.2435, 0.1175, 0.132, negative
F, 0.505, 0.39, 0.115, 0.66, 0.3045, 0.1555, 0.175, negative
M, 0.415, 0.31, 0.09, 0.3245, 0.1305, 0.0735, 0.115, negative
F, 0.4, 0.3, 0.115, 0.3025, 0.1335, 0.0465, 0.0935, negative
F, 0.43, 0.325, 0.12, 0.445, 0.165, 0.0995, 0.155, negative
M, 0.43, 0.335, 0.115, 0.406, 0.166, 0.0935, 0.135, negative
I, 0.355, 0.26, 0.09, 0.1925, 0.077, 0.038, 0.065, negative
I, 0.47, 0.37, 0.11, 0.5555, 0.25, 0.115, 0.163, negative
F, 0.47, 0.375, 0.12, 0.6015, 0.2765, 0.1455, 0.135, negative
M, 0.525, 0.425, 0.125, 0.812, 0.4035, 0.1705, 0.195, negative
F, 0.6, 0.46, 0.145, 0.9325, 0.3985, 0.2245, 0.248, negative
I, 0.51, 0.395, 0.155, 0.5395, 0.2465, 0.1085, 0.167, negative
I, 0.555, 0.425, 0.13, 0.648, 0.2835, 0.133, 0.2105, negative
M, 0.59, 0.47, 0.15, 0.861, 0.413, 0.164, 0.249, negative
F, 0.59, 0.46, 0.16, 1.0115, 0.445, 0.2615, 0.2565, negative
M, 0.63, 0.465, 0.15, 1.027, 0.537, 0.188, 0.176, negative
I, 0.41, 0.325, 0.11, 0.326, 0.1325, 0.075, 0.101, negative
I, 0.42, 0.325, 0.115, 0.314, 0.1295, 0.0635, 0.1, negative
I, 0.51, 0.385, 0.145, 0.7665, 0.3985, 0.14, 0.1805, negative
I, 0.525, 0.4, 0.13, 0.6445, 0.345, 0.1285, 0.2, negative
M, 0.6, 0.48, 0.09, 1.05, 0.457, 0.2685, 0.28, negative
F, 0.465, 0.35, 0.11, 0.4085, 0.165, 0.102, 0.131, negative
I, 0.505, 0.4, 0.125, 0.5605, 0.2255, 0.1435, 0.17, negative
I, 0.51, 0.4, 0.125, 0.5935, 0.239, 0.13, 0.204, negative
I, 0.52, 0.4, 0.11, 0.597, 0.2935, 0.1155, 0.16, negative
I, 0.53, 0.38, 0.125, 0.616, 0.292, 0.113, 0.185, negative
I, 0.46, 0.37, 0.11, 0.3965, 0.1485, 0.0855, 0.1455, negative
I, 0.59, 0.47, 0.145, 0.974, 0.453, 0.236, 0.289, negative
I, 0.395, 0.3, 0.12, 0.2995, 0.1265, 0.068, 0.0895, negative
I, 0.41, 0.325, 0.105, 0.361, 0.1605, 0.0665, 0.103, negative
M, 0.51, 0.415, 0.145, 0.751, 0.3295, 0.1835, 0.203, negative
I, 0.27, 0.195, 0.07, 0.102, 0.045, 0.0135, 0.034, negative
F, 0.51, 0.385, 0.135, 0.632, 0.282, 0.145, 0.17, negative
I, 0.455, 0.375, 0.125, 0.533, 0.233, 0.106, 0.185, negative
I, 0.52, 0.38, 0.13, 0.5345, 0.2375, 0.122, 0.1535, negative
M, 0.55, 0.44, 0.16, 0.985, 0.4645, 0.201, 0.27, negative
M, 0.555, 0.44, 0.145, 0.85, 0.4165, 0.1685, 0.23, negative
M, 0.555, 0.44, 0.15, 0.838, 0.4155, 0.146, 0.23, negative
M, 0.575, 0.44, 0.145, 0.87, 0.3945, 0.2195, 0.225, negative
M, 0.6, 0.41, 0.145, 0.939, 0.4475, 0.196, 0.268, negative
I, 0.46, 0.34, 0.09, 0.384, 0.1795, 0.068, 0.11, negative
I, 0.455, 0.37, 0.11, 0.514, 0.2385, 0.1235, 0.126, negative
I, 0.575, 0.44, 0.15, 0.983, 0.486, 0.215, 0.239, negative
M, 0.58, 0.45, 0.155, 0.8275, 0.321, 0.1975, 0.2445, negative
F, 0.63, 0.475, 0.15, 1.072, 0.433, 0.2975, 0.315, negative
F, 0.45, 0.365, 0.115, 0.5885, 0.318, 0.121, 0.1325, negative
I, 0.525, 0.4, 0.125, 0.5655, 0.2435, 0.119, 0.175, negative
I, 0.46, 0.34, 0.1, 0.386, 0.1805, 0.0875, 0.0965, negative
M, 0.41, 0.335, 0.115, 0.4405, 0.19, 0.085, 0.135, negative
I, 0.51, 0.39, 0.125, 0.597, 0.293, 0.1265, 0.1555, negative
F, 0.62, 0.465, 0.14, 1.011, 0.479, 0.2385, 0.255, negative
F, 0.58, 0.46, 0.135, 0.926, 0.4025, 0.208, 0.275, negative
I, 0.545, 0.43, 0.14, 0.772, 0.289, 0.19, 0.2615, negative
M, 0.48, 0.365, 0.13, 0.5305, 0.2405, 0.127, 0.139, negative
M, 0.475, 0.36, 0.14, 0.5135, 0.241, 0.1045, 0.155, negative
F, 0.52, 0.405, 0.115, 0.776, 0.32, 0.1845, 0.22, negative
F, 0.36, 0.265, 0.09, 0.2065, 0.078, 0.057, 0.06, negative
M, 0.505, 0.44, 0.14, 0.8275, 0.3415, 0.1855, 0.239, negative
I, 0.51, 0.405, 0.125, 0.6795, 0.3465, 0.1395, 0.182, negative
M, 0.63, 0.47, 0.155, 1.1325, 0.589, 0.211, 0.287, negative
I, 0.56, 0.44, 0.13, 0.7235, 0.349, 0.149, 0.2, negative
I, 0.535, 0.385, 0.18, 1.0835, 0.4955, 0.2295, 0.304, negative
I, 0.545, 0.42, 0.165, 0.8935, 0.4235, 0.2195, 0.228, negative
I, 0.47, 0.375, 0.12, 0.487, 0.196, 0.099, 0.135, negative
I, 0.485, 0.415, 0.14, 0.5705, 0.25, 0.134, 0.185, negative
I, 0.385, 0.285, 0.085, 0.244, 0.1215, 0.0445, 0.068, negative
I, 0.405, 0.31, 0.11, 0.91, 0.416, 0.2075, 0.0995, negative
I, 0.5, 0.375, 0.12, 0.529, 0.2235, 0.123, 0.16, negative
M, 0.575, 0.45, 0.165, 0.9655, 0.498, 0.19, 0.23, negative
