@relation abalone-21_vs_8
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.595, 0.475, 0.16, 1.3175, 0.408, 0.234, 0.58, positive
F, 0.56, 0.455, 0.125, 0.943, 0.344, 0.129, 0.375, positive
M, 0.67, 0.55, 0.17, 1.247, 0.472, 0.2455, 0.4, positive
F, 0.5, 0.4, 0.14, 0.6615, 0.2565, 0.1755, 0.22, negative
M, 0.47, 0.385, 0.135, 0.5895, 0.2765, 0.12, 0.17, negative
M, 0.525, 0.435, 0.155, 1.065, 0.486, 0.233, 0.285, negative
I, 0.435, 0.34, 0.11, 0.3795, 0.1495, 0.085, 0.12, negative
M, 0.37, 0.28, 0.1, 0.252, 0.1065, 0.0595, 0.074, negative
F, 0.38, 0.305, 0.095, 0.2815, 0.1255, 0.0525, 0.09, negative
M, 0.355, 0.265, 0.085, 0.201, 0.069, 0.053, 0.0695, negative
I, 0.45, 0.355, 0.105, 0.4445, 0.197, 0.093, 0.1335, negative
M, 0.51, 0.39, 0.135, 0.769, 0.3935, 0.1455, 0.19, negative
F, 0.525, 0.415, 0.14, 0.724, 0.3475, 0.173, 0.175, negative
F, 0.53, 0.425, 0.15, 0.8495, 0.328, 0.232, 0.202, negative
M, 0.535, 0.43, 0.14, 0.7165, 0.2855, 0.1595, 0.2155, negative
F, 0.565, 0.4, 0.13, 0.6975, 0.3075, 0.1665, 0.18, negative
F, 0.615, 0.48, 0.16, 1.2525, 0.585, 0.2595, 0.33, negative
M, 0.645, 0.52, 0.175, 1.561, 0.709, 0.3555, 0.4, negative
F, 0.645, 0.505, 0.165, 1.4325, 0.684, 0.308, 0.336, negative
I, 0.445, 0.335, 0.11, 0.411, 0.1985, 0.0935, 0.109, negative
I, 0.5, 0.38, 0.125, 0.519, 0.2485, 0.1135, 0.134, negative
I, 0.52, 0.38, 0.135, 0.5395, 0.2295, 0.133, 0.157, negative
F, 0.55, 0.43, 0.15, 0.84, 0.395, 0.195, 0.223, negative
M, 0.58, 0.455, 0.15, 1.114, 0.4765, 0.2155, 0.265, negative
M, 0.62, 0.47, 0.135, 1.0195, 0.5315, 0.2005, 0.2475, negative
M, 0.62, 0.45, 0.2, 0.858, 0.4285, 0.1525, 0.2405, negative
I, 0.38, 0.27, 0.08, 0.2105, 0.0865, 0.042, 0.07, negative
F, 0.46, 0.365, 0.125, 0.4785, 0.206, 0.1045, 0.141, negative
I, 0.545, 0.435, 0.135, 0.7715, 0.372, 0.148, 0.227, negative
I, 0.46, 0.355, 0.11, 0.436, 0.1975, 0.096, 0.125, negative
M, 0.525, 0.4, 0.14, 0.7205, 0.3685, 0.145, 0.1735, negative
I, 0.615, 0.475, 0.13, 0.8425, 0.353, 0.1915, 0.251, negative
I, 0.41, 0.3, 0.09, 0.304, 0.129, 0.071, 0.0955, negative
I, 0.425, 0.325, 0.11, 0.317, 0.135, 0.048, 0.09, negative
M, 0.48, 0.355, 0.16, 0.464, 0.221, 0.106, 0.239, negative
I, 0.49, 0.375, 0.115, 0.4615, 0.204, 0.0945, 0.143, negative
I, 0.55, 0.425, 0.15, 0.7665, 0.339, 0.176, 0.21, negative
I, 0.485, 0.365, 0.105, 0.5205, 0.195, 0.123, 0.182, negative
M, 0.53, 0.41, 0.14, 0.7545, 0.3495, 0.1715, 0.2105, negative
I, 0.505, 0.4, 0.145, 0.7045, 0.334, 0.1425, 0.207, negative
I, 0.52, 0.41, 0.11, 0.5185, 0.2165, 0.0915, 0.184, negative
M, 0.45, 0.35, 0.13, 0.4655, 0.2075, 0.1045, 0.135, negative
M, 0.485, 0.39, 0.135, 0.617, 0.25, 0.1345, 0.1635, negative
M, 0.61, 0.48, 0.165, 1.2435, 0.5575, 0.2675, 0.372, negative
M, 0.65, 0.5, 0.14, 1.238, 0.6165, 0.2355, 0.32, negative
M, 0.525, 0.405, 0.13, 0.7185, 0.3265, 0.1975, 0.175, negative
F, 0.48, 0.38, 0.12, 0.608, 0.2705, 0.1405, 0.185, negative
I, 0.46, 0.335, 0.11, 0.444, 0.225, 0.0745, 0.11, negative
