@relation abalone-21_vs_8
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
M, 0.49, 0.39, 0.15, 0.573, 0.225, 0.124, 0.17, positive
F, 0.67, 0.535, 0.185, 1.597, 0.6275, 0.35, 0.47, positive
M, 0.675, 0.555, 0.2, 1.4385, 0.545, 0.2665, 0.465, positive
F, 0.425, 0.33, 0.115, 0.406, 0.1635, 0.081, 0.1355, negative
M, 0.42, 0.335, 0.115, 0.369, 0.171, 0.071, 0.12, negative
M, 0.36, 0.295, 0.105, 0.241, 0.0865, 0.053, 0.095, negative
M, 0.45, 0.355, 0.115, 0.479, 0.2125, 0.1045, 0.15, negative
M, 0.255, 0.195, 0.065, 0.08, 0.0315, 0.018, 0.027, negative
M, 0.49, 0.385, 0.125, 0.609, 0.3065, 0.096, 0.1775, negative
F, 0.64, 0.51, 0.165, 1.486, 0.7595, 0.332, 0.321, negative
F, 0.535, 0.4, 0.135, 0.8215, 0.3935, 0.196, 0.205, negative
M, 0.535, 0.435, 0.14, 0.874, 0.3735, 0.229, 0.2195, negative
F, 0.58, 0.45, 0.145, 1.137, 0.5585, 0.22, 0.29, negative
M, 0.63, 0.485, 0.155, 1.278, 0.637, 0.275, 0.31, negative
I, 0.48, 0.38, 0.125, 0.6245, 0.3395, 0.1085, 0.1665, negative
I, 0.515, 0.385, 0.125, 0.6115, 0.3175, 0.1265, 0.15, negative
M, 0.61, 0.485, 0.16, 1.0145, 0.5315, 0.212, 0.2415, negative
M, 0.625, 0.48, 0.185, 1.2065, 0.587, 0.29, 0.286, negative
I, 0.385, 0.28, 0.085, 0.2175, 0.097, 0.038, 0.067, negative
I, 0.43, 0.34, 0.0, 0.428, 0.2065, 0.086, 0.115, negative
I, 0.43, 0.315, 0.095, 0.378, 0.175, 0.08, 0.1045, negative
F, 0.455, 0.365, 0.115, 0.4305, 0.184, 0.108, 0.1245, negative
I, 0.47, 0.355, 0.12, 0.393, 0.167, 0.0885, 0.115, negative
I, 0.475, 0.38, 0.12, 0.441, 0.1785, 0.0885, 0.1505, negative
I, 0.475, 0.36, 0.11, 0.492, 0.211, 0.11, 0.15, negative
I, 0.48, 0.365, 0.1, 0.461, 0.2205, 0.0835, 0.135, negative
M, 0.475, 0.37, 0.125, 0.649, 0.347, 0.136, 0.142, negative
M, 0.485, 0.39, 0.085, 0.6435, 0.2945, 0.103, 0.198, negative
F, 0.62, 0.435, 0.155, 1.012, 0.477, 0.236, 0.275, negative
M, 0.65, 0.485, 0.14, 1.175, 0.475, 0.2435, 0.215, negative
I, 0.36, 0.27, 0.095, 0.2, 0.073, 0.056, 0.061, negative
I, 0.385, 0.29, 0.09, 0.2365, 0.1, 0.0505, 0.076, negative
I, 0.475, 0.36, 0.125, 0.4905, 0.205, 0.1305, 0.125, negative
I, 0.48, 0.37, 0.12, 0.536, 0.251, 0.114, 0.15, negative
I, 0.495, 0.4, 0.105, 0.602, 0.2505, 0.1265, 0.19, negative
I, 0.5, 0.39, 0.12, 0.5955, 0.2455, 0.147, 0.173, negative
I, 0.55, 0.415, 0.145, 0.7815, 0.373, 0.16, 0.2215, negative
M, 0.575, 0.455, 0.165, 0.867, 0.3765, 0.1805, 0.268, negative
F, 0.605, 0.48, 0.14, 0.991, 0.4735, 0.2345, 0.24, negative
I, 0.455, 0.325, 0.135, 0.82, 0.4005, 0.1715, 0.211, negative
I, 0.455, 0.345, 0.11, 0.434, 0.207, 0.0855, 0.1215, negative
M, 0.515, 0.395, 0.135, 1.007, 0.472, 0.2495, 0.252, negative
F, 0.64, 0.475, 0.14, 1.0725, 0.4895, 0.2295, 0.31, negative
