@relation abalone-21_vs_8
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Class
@data
I, 0.53, 0.415, 0.145, 0.944, 0.3845, 0.185, 0.265, positive
F, 0.68, 0.55, 0.2, 1.596, 0.525, 0.4075, 0.585, positive
F, 0.665, 0.5, 0.175, 1.742, 0.595, 0.3025, 0.725, positive
I, 0.425, 0.3, 0.095, 0.3515, 0.141, 0.0775, 0.12, negative
I, 0.52, 0.41, 0.12, 0.595, 0.2385, 0.111, 0.19, negative
I, 0.375, 0.305, 0.115, 0.2715, 0.092, 0.074, 0.09, negative
F, 0.44, 0.34, 0.105, 0.364, 0.148, 0.0805, 0.1175, negative
I, 0.485, 0.375, 0.14, 0.521, 0.2, 0.123, 0.17, negative
F, 0.55, 0.43, 0.125, 0.923, 0.4035, 0.175, 0.283, negative
F, 0.595, 0.48, 0.16, 1.2095, 0.5225, 0.296, 0.32, negative
M, 0.48, 0.36, 0.1, 0.439, 0.194, 0.099, 0.115, negative
I, 0.505, 0.39, 0.15, 0.685, 0.362, 0.131, 0.156, negative
F, 0.59, 0.455, 0.145, 1.063, 0.5155, 0.2445, 0.25, negative
M, 0.63, 0.48, 0.15, 1.1785, 0.5185, 0.248, 0.3235, negative
M, 0.69, 0.525, 0.175, 1.7005, 0.8255, 0.362, 0.405, negative
I, 0.45, 0.365, 0.125, 0.462, 0.2135, 0.0985, 0.1315, negative
I, 0.51, 0.38, 0.115, 0.5155, 0.215, 0.1135, 0.166, negative
F, 0.56, 0.44, 0.155, 0.6405, 0.336, 0.1765, 0.245, negative
I, 0.57, 0.44, 0.15, 0.755, 0.3425, 0.16, 0.224, negative
M, 0.59, 0.47, 0.15, 0.9955, 0.481, 0.232, 0.24, negative
M, 0.6, 0.455, 0.17, 1.1915, 0.696, 0.2395, 0.24, negative
M, 0.72, 0.565, 0.145, 1.187, 0.691, 0.1945, 0.2685, negative
I, 0.395, 0.305, 0.105, 0.284, 0.1135, 0.0595, 0.0945, negative
I, 0.395, 0.295, 0.095, 0.2725, 0.115, 0.0625, 0.085, negative
I, 0.455, 0.345, 0.105, 0.4005, 0.164, 0.0755, 0.126, negative
I, 0.47, 0.355, 0.18, 0.48, 0.2055, 0.105, 0.1505, negative
I, 0.48, 0.355, 0.115, 0.4725, 0.2065, 0.112, 0.132, negative
I, 0.505, 0.395, 0.105, 0.551, 0.248, 0.103, 0.171, negative
I, 0.535, 0.415, 0.15, 0.5765, 0.3595, 0.135, 0.225, negative
I, 0.545, 0.405, 0.135, 0.5945, 0.27, 0.1185, 0.185, negative
F, 0.565, 0.45, 0.145, 0.8495, 0.4215, 0.1685, 0.225, negative
F, 0.58, 0.445, 0.15, 0.858, 0.4, 0.156, 0.253, negative
M, 0.52, 0.4, 0.125, 0.559, 0.254, 0.139, 0.149, negative
F, 0.56, 0.43, 0.15, 0.8745, 0.453, 0.161, 0.22, negative
M, 0.575, 0.46, 0.165, 0.9155, 0.4005, 0.2465, 0.2385, negative
M, 0.585, 0.455, 0.15, 0.906, 0.4095, 0.23, 0.2335, negative
